date,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,home_pen_score,away_id,away_score,away_name,away_long_name,away_pen_score,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_status_aggregated_str,match_status_awarded,match_time_ts,match_tv,internal_rank,live_rank,simple_league,parent_league_id,is_group,group_name,parent_league_name
2017-08-18,GER,54,54,1. Bundesliga,2543913,54,18.08.2017 20:35,9823,3,Bayern München,Bayern München,,8178,1,Leverkusen,Bayer Leverkusen,,,6,1,TRUE,TRUE,FALSE,3 - 1,"Aug 18, 2017",18. Aug.,FT,Full-Time,,,,1503063300000,,20,100,FALSE,,,,
2017-08-19,GER,54,54,1. Bundesliga,2543919,54,19.08.2017 15:30,9790,1,Hamburger SV,Hamburger SV,,8406,0,Augsburg,Augsburg,,,6,1,TRUE,TRUE,FALSE,1 - 0,"Aug 19, 2017",19. Aug.,FT,Full-Time,,,,1503131400000,,20,100,FALSE,,,,
2017-08-19,GER,54,54,1. Bundesliga,2543915,54,19.08.2017 15:30,8177,2,Hertha Berlin,Hertha Berlin,,10269,0,VfB Stuttgart,VfB Stuttgart,,,6,1,TRUE,TRUE,FALSE,2 - 0,"Aug 19, 2017",19. Aug.,FT,Full-Time,,,,1503131400000,,20,100,FALSE,,,,
2017-08-19,GER,54,54,1. Bundesliga,2543914,54,19.08.2017 15:30,8226,1,Hoffenheim,Hoffenheim,,8697,0,Werder Bremen,Werder Bremen,,,6,1,TRUE,TRUE,FALSE,1 - 0,"Aug 19, 2017",19. Aug.,FT,Full-Time,,,,1503131400000,,20,100,FALSE,,,,
2017-08-19,GER,54,54,1. Bundesliga,2543920,54,19.08.2017 15:30,9905,0,Mainz,Mainz 05,,9904,1,Hannover 96,Hannover 96,,,6,1,TRUE,TRUE,FALSE,0 - 1,"Aug 19, 2017",19. Aug.,FT,Full-Time,,,,1503131400000,,20,100,FALSE,,,,
2017-08-19,GER,54,54,1. Bundesliga,2543921,54,19.08.2017 15:30,8721,0,Wolfsburg,Wolfsburg,,9789,3,Dortmund,Borussia Dortmund,,,6,1,TRUE,TRUE,FALSE,0 - 3,"Aug 19, 2017",19. Aug.,FT,Full-Time,,,,1503131400000,,20,100,FALSE,,,,
2017-08-19,GER,54,54,1. Bundesliga,2543918,54,19.08.2017 18:30,10189,2,Schalke 04,Schalke 04,,178475,0,RB Leipzig,RasenBallsport Leipzig,,,6,1,TRUE,TRUE,FALSE,2 - 0,"Aug 19, 2017",19. Aug.,FT,Full-Time,,,,1503142200000,,20,100,FALSE,,,,
2017-08-20,GER,54,54,1. Bundesliga,2543916,54,20.08.2017 15:30,8358,0,Freiburg,Freiburg,,9810,0,Frankfurt,Eintracht Frankfurt,,,6,1,TRUE,TRUE,FALSE,0 - 0,"Aug 20, 2017",20. Aug.,FT,Full-Time,,,,1503217800000,,20,100,FALSE,,,,
2017-08-20,GER,54,54,1. Bundesliga,2543917,54,20.08.2017 18:00,9788,1,M'gladbach,Borussia M'Gladbach,,8722,0,Köln,1. FC Köln,,,6,1,TRUE,TRUE,FALSE,1 - 0,"Aug 20, 2017",20. Aug.,FT,Full-Time,,,,1503226800000,,20,100,FALSE,,,,
2017-08-25,GER,54,54,1. Bundesliga,2543924,54,25.08.2017 20:30,8722,1,Köln,1. FC Köln,,9790,3,Hamburger SV,Hamburger SV,,,6,2,TRUE,TRUE,FALSE,1 - 3,"Aug 25, 2017",25. Aug.,FT,Full-Time,,,,1503667800000,,20,100,FALSE,,,,
2017-08-26,GER,54,54,1. Bundesliga,2543928,54,26.08.2017 15:30,8406,2,Augsburg,Augsburg,,9788,2,M'gladbach,Borussia M'Gladbach,,,6,2,TRUE,TRUE,FALSE,2 - 2,"Aug 26, 2017",26. Aug.,FT,Full-Time,,,,1503736200000,,20,100,FALSE,,,,
2017-08-26,GER,54,54,1. Bundesliga,2543927,54,26.08.2017 15:30,8178,2,Leverkusen,Bayer Leverkusen,,8226,2,Hoffenheim,Hoffenheim,,,6,2,TRUE,TRUE,FALSE,2 - 2,"Aug 26, 2017",26. Aug.,FT,Full-Time,,,,1503736200000,,20,100,FALSE,,,,
2017-08-26,GER,54,54,1. Bundesliga,2543926,54,26.08.2017 15:30,9810,0,Frankfurt,Eintracht Frankfurt,,8721,1,Wolfsburg,Wolfsburg,,,6,2,TRUE,TRUE,FALSE,0 - 1,"Aug 26, 2017",26. Aug.,FT,Full-Time,,,,1503736200000,,20,100,FALSE,,,,
2017-08-26,GER,54,54,1. Bundesliga,2543930,54,26.08.2017 15:30,10269,1,VfB Stuttgart,VfB Stuttgart,,9905,0,Mainz,Mainz 05,,,6,2,TRUE,TRUE,FALSE,1 - 0,"Aug 26, 2017",26. Aug.,FT,Full-Time,,,,1503736200000,,20,100,FALSE,,,,
