date,is_group,group_name,ccode,id,primary_id,name,match_id,match_league_id,match_time,home_id,home_score,home_name,home_long_name,away_id,away_score,away_name,away_long_name,match_eliminated_team_id,match_status_id,match_tournament_stage,match_status_finished,match_status_started,match_status_cancelled,match_status_score_str,match_status_start_date_str,match_status_start_date_str_short,short,long,match_status_start_time_str,match_time_ts,parent_league_id,parent_league_name,internal_rank,live_rank,simple_league,match_tv,home_pen_score,away_pen_score,match_status_awarded,match_status_aggregated_str,matches
2022-08-13,,,ITA,55,55,Serie A,3919071,55,13.08.2022 18:30,8564,4,Milan,Milan,8600,2,Udinese,Udinese,,6,1,TRUE,TRUE,FALSE,4 - 2,"Aug 13, 2022",13. Aug.,FT,Full-Time,,1660390200000,,,9,100,FALSE,,,,,,
2022-08-13,,,ITA,55,55,Serie A,3919073,55,13.08.2022 18:30,9882,0,Sampdoria,Sampdoria,8524,2,Atalanta,Atalanta,,6,1,TRUE,TRUE,FALSE,0 - 2,"Aug 13, 2022",13. Aug.,FT,Full-Time,,1660390200000,,,9,100,FALSE,,,,,,
2022-08-13,,,ITA,55,55,Serie A,3919077,55,13.08.2022 20:45,9888,1,Lecce,Lecce,8636,2,Inter,Inter,,6,1,TRUE,TRUE,FALSE,1 - 2,"Aug 13, 2022",13. Aug.,FT,Full-Time,,1660398300000,,,9,100,FALSE,,,,,,
2022-08-13,,,ITA,55,55,Serie A,3919072,55,13.08.2022 20:45,6504,1,Monza,Monza,9804,2,Torino,Torino,,6,1,TRUE,TRUE,FALSE,1 - 2,"Aug 13, 2022",13. Aug.,FT,Full-Time,,1660398300000,,,9,100,FALSE,,,,,,
2022-08-14,,,ITA,55,55,Serie A,3919075,55,14.08.2022 18:30,8535,3,Fiorentina,Fiorentina,7801,2,Cremonese,Cremonese,,6,1,TRUE,TRUE,FALSE,3 - 2,"Aug 14, 2022",14. Aug.,FT,Full-Time,,1660476600000,,,9,100,FALSE,,,,,,
2022-08-14,,,ITA,55,55,Serie A,3919074,55,14.08.2022 18:30,8543,2,Lazio,Lazio,9857,1,Bologna,Bologna,,6,1,TRUE,TRUE,FALSE,2 - 1,"Aug 14, 2022",14. Aug.,FT,Full-Time,,1660476600000,,,9,100,FALSE,,,,,,
2022-08-14,,,ITA,55,55,Serie A,3919078,55,14.08.2022 20:45,6480,0,Salernitana,Salernitana,8686,1,Roma,Roma,,6,1,TRUE,TRUE,FALSE,0 - 1,"Aug 14, 2022",14. Aug.,FT,Full-Time,,1660484700000,,,9,100,FALSE,,,,,,
2022-08-14,,,ITA,55,55,Serie A,3919076,55,14.08.2022 20:45,9881,1,Spezia,Spezia,8534,0,Empoli,Empoli,,6,1,TRUE,TRUE,FALSE,1 - 0,"Aug 14, 2022",14. Aug.,FT,Full-Time,,1660484700000,,,9,100,FALSE,,,,,,
2022-08-15,,,ITA,55,55,Serie A,3919069,55,15.08.2022 18:30,9876,2,Hellas Verona,Hellas Verona,9875,5,Napoli,Napoli,,6,1,TRUE,TRUE,FALSE,2 - 5,"Aug 15, 2022",15. Aug.,FT,Full-Time,,1660563000000,,,9,100,FALSE,,,,,,
2022-08-15,,,ITA,55,55,Serie A,3919070,55,15.08.2022 20:45,9885,3,Juventus,Juventus,7943,0,Sassuolo,Sassuolo,,6,1,TRUE,TRUE,FALSE,3 - 0,"Aug 15, 2022",15. Aug.,FT,Full-Time,,1660571100000,,,9,100,FALSE,,,,,,
