"competition_type","competition_name","country","gender","governing_body","first_season","last_season","tier","comp_url","seasons","season_end_year","seasons_urls","fixtures_url","is_completed","filter_out"
"Club International Cups","Copa Libertadores de América",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2023","2023","https://fbref.com/en/comps/14/Copa-Libertadores-Stats","https://fbref.com/en/comps/14/schedule/Copa-Libertadores-Scores-and-Fixtures","FALSE","N"
"Club International Cups","Copa Libertadores de América",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2022","2022","https://fbref.com/en/comps/14/2022/2022-Copa-Libertadores-Stats","https://fbref.com/en/comps/14/2022/schedule/2022-Copa-Libertadores-Scores-and-Fixtures","TRUE","N"
"Club International Cups","Copa Libertadores de América",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2021","2021","https://fbref.com/en/comps/14/2021/2021-Copa-Libertadores-Stats","https://fbref.com/en/comps/14/2021/schedule/2021-Copa-Libertadores-Scores-and-Fixtures","TRUE","N"
"Club International Cups","Copa Libertadores de América",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2020","2020","https://fbref.com/en/comps/14/2020/2020-Copa-Libertadores-Stats","https://fbref.com/en/comps/14/2020/schedule/2020-Copa-Libertadores-Scores-and-Fixtures","TRUE","N"
"Club International Cups","Copa Libertadores de América",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2019","2019","https://fbref.com/en/comps/14/2019/2019-Copa-Libertadores-Stats","https://fbref.com/en/comps/14/2019/schedule/2019-Copa-Libertadores-Scores-and-Fixtures","TRUE","N"
"Club International Cups","Copa Libertadores de América",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2018","2018","https://fbref.com/en/comps/14/2018/2018-Copa-Libertadores-Stats","https://fbref.com/en/comps/14/2018/schedule/2018-Copa-Libertadores-Scores-and-Fixtures","TRUE","N"
"Club International Cups","Copa Libertadores de América",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2017","2017","https://fbref.com/en/comps/14/2017/2017-Copa-Libertadores-Stats","https://fbref.com/en/comps/14/2017/schedule/2017-Copa-Libertadores-Scores-and-Fixtures","TRUE","N"
"Club International Cups","Copa Libertadores de América",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2016","2016","https://fbref.com/en/comps/14/2016/2016-Copa-Libertadores-Stats","https://fbref.com/en/comps/14/2016/schedule/2016-Copa-Libertadores-Scores-and-Fixtures","TRUE","N"
"Club International Cups","Copa Libertadores de América",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2015","2015","https://fbref.com/en/comps/14/2015/2015-Copa-Libertadores-Stats","https://fbref.com/en/comps/14/2015/schedule/2015-Copa-Libertadores-Scores-and-Fixtures","TRUE","N"
"Club International Cups","Copa Libertadores de América",NA,"M","CONMEBOL","2014","2023",NA,"https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons","2014","2014","https://fbref.com/en/comps/14/2014/2014-Copa-Libertadores-Stats","https://fbref.com/en/comps/14/2014/schedule/2014-Copa-Libertadores-Scores-and-Fixtures","TRUE","N"
