"country","country_url","league_name","league_url","has_leage_page"
"Afghanistan","https://fbref.com/en/country/AFG/Afghanistan-Football",NA,NA,FALSE
"Albania","https://fbref.com/en/country/ALB/Albania-Football",NA,NA,FALSE
"Algeria","https://fbref.com/en/country/ALG/Algeria-Football",NA,NA,FALSE
"American Samoa","https://fbref.com/en/country/ASA/American-Samoa-Football",NA,NA,FALSE
"Andorra","https://fbref.com/en/country/AND/Andorra-Football",NA,NA,FALSE
"Angola","https://fbref.com/en/country/ANG/Angola-Football",NA,NA,FALSE
"Anguilla","https://fbref.com/en/country/AIA/Anguilla-Football",NA,NA,FALSE
"Antigua and Barbuda","https://fbref.com/en/country/ATG/Antigua-and-Barbuda-Football",NA,NA,FALSE
"Argentina","https://fbref.com/en/country/ARG/Argentina-Football","Argentine Primera División (M)","https://fbref.com/en/comps/21/history/Primera-Division-Seasons",TRUE
"Armenia","https://fbref.com/en/country/ARM/Armenia-Football",NA,NA,FALSE
"Aruba","https://fbref.com/en/country/ARU/Aruba-Football",NA,NA,FALSE
"Australia","https://fbref.com/en/country/AUS/Australia-Football","A-League (M),
W-League (F)","https://fbref.com/en/comps/65/history/A-League-Seasons,
https://fbref.com/en/comps/196/history/W-League-Seasons",TRUE
"Austria","https://fbref.com/en/country/AUT/Austria-Football","Austrian Football Bundesliga (M)","https://fbref.com/en/comps/56/history/Austrian-Bundesliga-Seasons",TRUE
"Azerbaijan","https://fbref.com/en/country/AZE/Azerbaijan-Football",NA,NA,FALSE
"Bahrain","https://fbref.com/en/country/BHR/Bahrain-Football",NA,NA,FALSE
"Bangladesh","https://fbref.com/en/country/BAN/Bangladesh-Football",NA,NA,FALSE
"Barbados","https://fbref.com/en/country/BRB/Barbados-Football",NA,NA,FALSE
"Belarus","https://fbref.com/en/country/BLR/Belarus-Football",NA,NA,FALSE
"Belgium","https://fbref.com/en/country/BEL/Belgium-Football","Belgian First Division A (M),
Belgian First Division B (M)","https://fbref.com/en/comps/37/history/Belgian-First-Division-A-Seasons,
https://fbref.com/en/comps/69/history/Belgian-First-Division-B-Seasons",TRUE
"Belize","https://fbref.com/en/country/BLZ/Belize-Football",NA,NA,FALSE
"Benin","https://fbref.com/en/country/BEN/Benin-Football",NA,NA,FALSE
"Bermuda","https://fbref.com/en/country/BER/Bermuda-Football",NA,NA,FALSE
"Bhutan","https://fbref.com/en/country/BHU/Bhutan-Football",NA,NA,FALSE
"Bolivia","https://fbref.com/en/country/BOL/Bolivia-Football","División de Fútbol Profesional (M)","https://fbref.com/en/comps/74/history/Primera-Division-Seasons",TRUE
"Bonaire","https://fbref.com/en/country/BOE/Bonaire-Football",NA,NA,FALSE
"Bosnia and Herzegovina","https://fbref.com/en/country/BIH/Bosnia-and-Herzegovina-Football",NA,NA,FALSE
"Botswana","https://fbref.com/en/country/BOT/Botswana-Football",NA,NA,FALSE
"Brazil","https://fbref.com/en/country/BRA/Brazil-Football","Campeonato Brasileiro Série A (M),
Campeonato Brasileiro Série B (M)","https://fbref.com/en/comps/24/history/Serie-A-Seasons,
https://fbref.com/en/comps/38/history/Serie-B-Seasons",TRUE
"British Virgin Islands","https://fbref.com/en/country/VGB/British-Virgin-Islands-Football",NA,NA,FALSE
"Brunei","https://fbref.com/en/country/BRU/Brunei-Football",NA,NA,FALSE
"Bulgaria","https://fbref.com/en/country/BUL/Bulgaria-Football","First Professional Football League (M)","https://fbref.com/en/comps/67/history/Bulgarian-First-League-Seasons",TRUE
"Burkina Faso","https://fbref.com/en/country/BFA/Burkina-Faso-Football",NA,NA,FALSE
"Burundi","https://fbref.com/en/country/BDI/Burundi-Football",NA,NA,FALSE
"Cambodia","https://fbref.com/en/country/CAM/Cambodia-Football",NA,NA,FALSE
"Cameroon","https://fbref.com/en/country/CMR/Cameroon-Football",NA,NA,FALSE
"Canada","https://fbref.com/en/country/CAN/Canada-Football","Canadian Premier League (M)","https://fbref.com/en/comps/211/history/Canadian-Premier-League-Seasons",TRUE
"Cape Verde","https://fbref.com/en/country/CPV/Cape-Verde-Football",NA,NA,FALSE
"Cayman Islands","https://fbref.com/en/country/CAY/Cayman-Islands-Football",NA,NA,FALSE
"Central African Republic","https://fbref.com/en/country/CTA/Central-African-Republic-Football",NA,NA,FALSE
"Chad","https://fbref.com/en/country/CHA/Chad-Football",NA,NA,FALSE
