"Player","Born","Url","player_dob","player_url","player_position"
"Aapo Halme","1998","https://fbref.com/en/players/02b952ce/Aapo-Halme",1998-05-22,"https://www.transfermarkt.com/aapo-halme/profil/spieler/322984","Centre-Back"
"Aaron Bastiaans","2002","https://fbref.com/en/players/fb979733/Aaron-Bastiaans",2002-04-04,"https://www.transfermarkt.com/aaron-bastiaans/profil/spieler/578459","Left Winger"
"Aaron Meijers","1987","https://fbref.com/en/players/3cd63173/Aaron-Meijers",1987-10-28,"https://www.transfermarkt.com/aaron-meijers/profil/spieler/56836","Left-Back"
"Aaron Menelik","2002","https://fbref.com/en/players/7d5c83ef/Aaron-Menelik",2002-03-14,"https://www.transfermarkt.com/aaron-menelik/profil/spieler/595942","Central Midfield"
"Aaron Pressley","2001","https://fbref.com/en/players/0d832e3f/Aaron-Pressley",2001-11-07,"https://www.transfermarkt.com/aaron-pressley/profil/spieler/471003","Centre-Forward"
"Aaron Tshibola","1995","https://fbref.com/en/players/8ce9cfdd/Aaron-Tshibola",1995-01-02,"https://www.transfermarkt.com/aaron-tshibola/profil/spieler/243633","Central Midfield"
"Abbas Ibrahim","1998","https://fbref.com/en/players/fe68a954/Abbas-Ibrahim",1998-01-02,"https://www.transfermarkt.com/abbas-ibrahim/profil/spieler/631278","Central Midfield"
"Abdallah Aberkane","2000","https://fbref.com/en/players/2218f2ee/Abdallah-Aberkane",2000-05-05,"https://www.transfermarkt.com/abdallah-aberkane/profil/spieler/361086","Right-Back"
"Abdallah Sima","2001","https://fbref.com/en/players/fdbde523/Abdallah-Sima",2001-06-17,"https://www.transfermarkt.com/abdallah-sima/profil/spieler/776798","Right Winger"
"Abdiel Arroyo","1993","https://fbref.com/en/players/661c4991/Abdiel-Arroyo",1993-12-13,"https://www.transfermarkt.com/abdiel-arroyo/profil/spieler/283472","Centre-Forward"
"Abdoulaye Diallo","1996","https://fbref.com/en/players/5bc463ad/Abdoulaye-Diallo",1996-01-15,"https://www.transfermarkt.com/abdoulaye-diallo/profil/spieler/415271","Centre-Forward"
"Abdoullah Ba","2003","https://fbref.com/en/players/3f651f34/Abdoullah-Ba",2003-07-31,"https://www.transfermarkt.com/abdoullah-ba/profil/spieler/654412","Defensive Midfield"
"Abdul Mumin","1998","https://fbref.com/en/players/5487adcd/Abdul-Mumin",1998-06-06,"https://www.transfermarkt.com/abdul-mumin/profil/spieler/451801","Centre-Back"
"Abel Aguirre","1996","https://fbref.com/en/players/dae660ba/Abel-Aguirre",1996-10-06,"https://www.transfermarkt.com/abel-aguirre/profil/spieler/654695","Midfield"
"Abel Camará","1990","https://fbref.com/en/players/be80b225/Abel-Camara",1990-01-06,"https://www.transfermarkt.com/abel-camara/profil/spieler/158380","Centre-Forward"
"Abel Hernández","1990","https://fbref.com/en/players/a36da810/Abel-Hernandez",1990-08-08,"https://www.transfermarkt.com/abel-hernandez/profil/spieler/76608","Centre-Forward"
"Abner","2000","https://fbref.com/en/players/7f9c5d2d/Abner",2000-05-27,"https://www.transfermarkt.com/abner/profil/spieler/646402","Left-Back"
"Abner","1996","https://fbref.com/en/players/8e562fe7/Abner",1996-05-30,"https://www.transfermarkt.com/abner/profil/spieler/273455","Left-Back"
"Abraham Bass","2001","https://fbref.com/en/players/ea80aff9/Abraham-Bass",2001-08-09,"https://www.transfermarkt.com/abraham-bass/profil/spieler/803552","Defensive Midfield"
"Abraham Flores","2002","https://fbref.com/en/players/32a7f855/Abraham-Flores",2002-07-14,"https://www.transfermarkt.com/abraham-flores/profil/spieler/718075","Defence"
"Abraham González","1985","https://fbref.com/en/players/682bd745/Abraham-Gonzalez",1985-07-16,"https://www.transfermarkt.com/abraham-gonzalez/profil/spieler/65243","Central Midfield"
"Abraham Marcus","2000","https://fbref.com/en/players/b979fb26/Abraham-Marcus",2000-01-02,"https://www.transfermarkt.com/abraham-marcus/profil/spieler/699632","Left Winger"
"Abraham Padilla","2000","https://fbref.com/en/players/d71e0712/Abraham-Padilla",2000-03-11,"https://www.transfermarkt.com/abraham-padilla/profil/spieler/797895","Defence"
"Abraham Villegas","2002","https://fbref.com/en/players/0a8ac159/Abraham-Villegas",2002-12-17,"https://www.transfermarkt.com/abraham-villegas/profil/spieler/988440","Defence"
"Achraf Douiri","1999","https://fbref.com/en/players/e10e4a3e/Achraf-Douiri",1999-11-27,"https://www.transfermarkt.com/achraf-douiri/profil/spieler/516761","Left Winger"
"Achraf El Bouchataoui","2000","https://fbref.com/en/players/d36b077d/Achraf-El-Bouchataoui",2000-01-12,"https://www.transfermarkt.com/achraf-el-bouchataoui/profil/spieler/361122","Central Midfield"
"Achraf Madi","2002","https://fbref.com/en/players/5f81f0d5/Achraf-Madi",2002-06-27,"https://www.transfermarkt.com/achraf-madi/profil/spieler/598037","Central Midfield"
"Adalberto","1987","https://fbref.com/en/players/edecb971/Adalberto",1987-11-16,"https://www.transfermarkt.com/adalberto/profil/spieler/56062","Centre-Back"
"Adam Bareiro","1996","https://fbref.com/en/players/afb7f0ea/Adam-Bareiro",1996-07-26,"https://www.transfermarkt.com/adam-bareiro/profil/spieler/514120","Centre-Forward"
"Adam Clayton","1989","https://fbref.com/en/players/45b59689/Adam-Clayton",1989-01-14,"https://www.transfermarkt.com/adam-clayton/profil/spieler/73067","Central Midfield"
"Adam Curry","1997","https://fbref.com/en/players/47e64244/Adam-Curry",1997-05-21,"https://www.transfermarkt.com/adam-curry/profil/spieler/553494","Centre-Back"
"Adam Davies","1992","https://fbref.com/en/players/71894777/Adam-Davies",1992-07-17,"https://www.transfermarkt.com/adam-davies/profil/spieler/121254","Goalkeeper"
"Adam Federici","1985","https://fbref.com/en/players/e5ea8be7/Adam-Federici",1985-01-31,"https://www.transfermarkt.com/adam-federici/profil/spieler/4233","Goalkeeper"
