"Player","Born","Url","player_dob","player_url","player_position"
"Aaron Herrera","1997","https://fbref.com/en/players/d86e3070/Aaron-Herrera",1997-06-06,"https://www.transfermarkt.com/aaron-herrera/profil/spieler/401362","Right-Back"
"Aaron Long","1992","https://fbref.com/en/players/46b89640/Aaron-Long",1992-10-12,"https://www.transfermarkt.com/aaron-long/profil/spieler/271072","Centre-Back"
"Aaron Schoenfeld","1990","https://fbref.com/en/players/6c7e441a/Aaron-Schoenfeld",1990-04-17,"https://www.transfermarkt.com/aaron-schoenfeld/profil/spieler/218314","Centre-Forward"
"Abdoul Zanne","2003","https://fbref.com/en/players/e5b49f0e/Abdoul-Zanne",2003-02-18,"https://www.transfermarkt.com/abdoul-zanne/profil/spieler/993310","Midfield"
"Abdoulaye Cissoko","1999","https://fbref.com/en/players/52a6ef30/Abdoulaye-Cissoko",1999-12-27,"https://www.transfermarkt.com/abdoulaye-cissoko/profil/spieler/705864","Centre-Back"
"Abdul Rwatubyaye","1996","https://fbref.com/en/players/7ca90a09/Abdul-Rwatubyaye",1996-10-23,"https://www.transfermarkt.com/abdul-rwatubyaye/profil/spieler/368580","Centre-Back"
"Abel Caputo","2000","https://fbref.com/en/players/7129666e/Abel-Caputo",2000-11-07,"https://www.transfermarkt.com/abel-caputo/profil/spieler/677694","Defensive Midfield"
"Aboubacar Keita","2000","https://fbref.com/en/players/85fbf1e4/Aboubacar-Keita",2000-04-06,"https://www.transfermarkt.com/aboubacar-keita/profil/spieler/638733","Centre-Back"
"Abraham Rodriguez","2002","https://fbref.com/en/players/c7e14787/Abraham-Rodriguez",2002-07-19,"https://www.transfermarkt.com/abraham-rodriguez/profil/spieler/659765","Goalkeeper"
"Abu Danladi","1995","https://fbref.com/en/players/507383d1/Abu-Danladi",1995-10-18,"https://www.transfermarkt.com/abu-danladi/profil/spieler/476676","Centre-Forward"
"Adalberto Carrasquilla","1998","https://fbref.com/en/players/f087912d/Adalberto-Carrasquilla",1998-11-28,"https://www.transfermarkt.com/adalberto-carrasquilla/profil/spieler/375300","Central Midfield"
"Adam Armour","2002","https://fbref.com/en/players/546c2c25/Adam-Armour",2002-09-27,"https://www.transfermarkt.com/adam-armour/profil/spieler/627199","Left-Back"
"Adam Buksa","1996","https://fbref.com/en/players/3b676989/Adam-Buksa",1996-07-12,"https://www.transfermarkt.com/adam-buksa/profil/spieler/267160","Centre-Forward"
"Adam Grinwis","1992","https://fbref.com/en/players/0d3f30b9/Adam-Grinwis",1992-04-21,"https://www.transfermarkt.com/adam-grinwis/profil/spieler/228150","Goalkeeper"
"Adam Henley","1994","https://fbref.com/en/players/f50cf139/Adam-Henley",1994-06-14,"https://www.transfermarkt.com/adam-henley/profil/spieler/173585","Right-Back"
"Adam Jahn","1991","https://fbref.com/en/players/6afa14fb/Adam-Jahn",1991-01-05,"https://www.transfermarkt.com/adam-jahn/profil/spieler/260858","Centre-Forward"
"Adam Lundqvist","1994","https://fbref.com/en/players/91769a24/Adam-Lundqvist",1994-03-20,"https://www.transfermarkt.com/adam-lundqvist/profil/spieler/225676","Left-Back"
