"Player","Born","Url","Squad","Nation","player_dob","player_url","tm_squad","tm_nationality","player_position"
"Adam Esparza","2002","https://fbref.com/en/players/ca135560/Adam-Esparza","LA Galaxy","us USA",NA,NA,NA,NA,NA
"Adrien Perez","1995","https://fbref.com/en/players/298a167b/Adrien-Perez","D.C. United","us USA",NA,NA,NA,NA,NA
"Alex Roldan","1996","https://fbref.com/en/players/1255a82a/Alex-Roldan","Seattle","sv SLV",NA,NA,NA,NA,NA
"Alexandru Mățan","1999","https://fbref.com/en/players/3bd3bcc4/Alexandru-Matan","Columbus Crew","ro ROU",NA,NA,NA,NA,NA
"Alexandru Mitriță","1995","https://fbref.com/en/players/49db4b16/Alexandru-Mitrita","NYCFC","ro ROU",NA,NA,NA,NA,NA
"Alfonso Ocampo-Chavez","2002","https://fbref.com/en/players/585cba12/Alfonso-Ocampo-Chavez","Seattle","us USA",NA,NA,NA,NA,NA
"Aljaž Ivačič","1993","https://fbref.com/en/players/4d6e50d8/Aljaz-Ivacic","Portland Timbers","si SVN",NA,NA,NA,NA,NA
"Andre Shinyashiki","1995","https://fbref.com/en/players/8c395868/Andre-Shinyashiki","Colorado Rapids","br BRA",NA,NA,NA,NA,NA
"Andy Najar","1993","https://fbref.com/en/players/f8280175/Andy-Najar","D.C. United","hn HON",NA,NA,NA,NA,NA
"Arquimides Ordonez","2003","https://fbref.com/en/players/8941d9b2/Arquimides-Ordonez","FC Cincinnati","gt GUA",NA,NA,NA,NA,NA
"Bismark Adjei-Boateng","1994","https://fbref.com/en/players/222bc419/Bismark-Adjei-Boateng","Colorado Rapids","gh GHA",NA,NA,NA,NA,NA
"Boris Sekulić","1991","https://fbref.com/en/players/adf26bd4/Boris-Sekulic","Chicago Fire","sk SVK",NA,NA,NA,NA,NA
"Christian Ortiz","1992","https://fbref.com/en/players/bd8ddbd6/Christian-Ortiz","Charlotte","ar ARG",NA,NA,NA,NA,NA
"Christian Torres","2004","https://fbref.com/en/players/93bb2262/Christian-Torres","Los Angeles FC","mx MEX",NA,NA,NA,NA,NA
"Cristián Dajome","1994","https://fbref.com/en/players/a065e877/Cristian-Dajome","Vancouver","co COL",NA,NA,NA,NA,NA
"Cristian Roldan","1995","https://fbref.com/en/players/48875649/Cristian-Roldan","Seattle","us USA",NA,NA,NA,NA,NA
"Dario Župarić","1992","https://fbref.com/en/players/c6f99e42/Dario-Zuparic","Portland Timbers","ba BIH",NA,NA,NA,NA,NA
"Derrick Etienne","1996","https://fbref.com/en/players/59059f1e/Derrick-Etienne","Columbus Crew","ht HAI",NA,NA,NA,NA,NA
"Diego Gutierrez","1999","https://fbref.com/en/players/4903a306/Diego-Gutierrez","Portland Timbers","us USA",NA,NA,NA,NA,NA
"Diego Valeri","1986","https://fbref.com/en/players/31da63ad/Diego-Valeri","Portland Timbers","ar ARG",NA,NA,NA,NA,NA
"Donasiyano Irakoze","1998","https://fbref.com/en/players/6195efdb/Donasiyano-Irakoze","Nashville","bi BDI",NA,NA,NA,NA,NA
"Đorđe Petrović","1999","https://fbref.com/en/players/0cf321c8/Djordje-Petrovic","New England","rs SRB",NA,NA,NA,NA,NA
"Douglas Martinez","1997","https://fbref.com/en/players/3e7ebb9a/Douglas-Martinez","Real Salt Lake","hn HON",NA,NA,NA,NA,NA
"Eduardo Sosa","1997","https://fbref.com/en/players/b799f70d/Eduardo-Sosa","Columbus Crew","ve VEN",NA,NA,NA,NA,NA
"Efrain Alvarez","2002","https://fbref.com/en/players/3cd08ab7/Efrain-Alvarez","LA Galaxy","mx MEX",NA,NA,NA,NA,NA
