Player,Born,Url,Squad,Nation,player_dob,player_url,tm_squad,tm_nationality,player_position
Adam Esparza,2002,https://fbref.com/en/players/ca135560/Adam-Esparza,LA Galaxy,us USA,NA,https://www.transfermarkt.com/adam-saldana/profil/spieler/504207,NA,NA,NA
Adrien Perez,1995,https://fbref.com/en/players/298a167b/Adrien-Perez,D.C. United,us USA,NA,https://www.transfermarkt.com/adrien-perez/profil/spieler/589774,NA,NA,NA
Alex Roldan,1996,https://fbref.com/en/players/1255a82a/Alex-Roldan,Seattle,sv SLV,NA,https://www.transfermarkt.com/alex-roldan/profil/spieler/562560,NA,NA,NA
Alexandru Mățan,1999,https://fbref.com/en/players/3bd3bcc4/Alexandru-Matan,Columbus Crew,ro ROU,NA,https://www.transfermarkt.com/alexandru-matan/profil/spieler/368942,NA,NA,NA
Alexandru Mitriță,1995,https://fbref.com/en/players/49db4b16/Alexandru-Mitrita,NYCFC,ro ROU,NA,https://www.transfermarkt.com/alexandru-mitrita/profil/spieler/209649,NA,NA,NA
Alfonso Ocampo-Chavez,2002,https://fbref.com/en/players/585cba12/Alfonso-Ocampo-Chavez,Seattle,us USA,NA,https://www.transfermarkt.com/alfonso-ocampo-chavez/profil/spieler/504214,NA,NA,NA
Aljaž Ivačič,1993,https://fbref.com/en/players/4d6e50d8/Aljaz-Ivacic,Portland Timbers,si SVN,NA,https://www.transfermarkt.com/aljaz-ivacic/profil/spieler/231923,NA,NA,NA
Andre Shinyashiki,1995,https://fbref.com/en/players/8c395868/Andre-Shinyashiki,Colorado Rapids,br BRA,NA,https://www.transfermarkt.com/andre-shinyashiki/profil/spieler/636331,NA,NA,NA
Andy Najar,1993,https://fbref.com/en/players/f8280175/Andy-Najar,D.C. United,hn HON,NA,https://www.transfermarkt.com/andy-najar/profil/spieler/145838,NA,NA,NA
Arquimides Ordonez,2003,https://fbref.com/en/players/8941d9b2/Arquimides-Ordonez,FC Cincinnati,gt GUA,NA,https://www.transfermarkt.com/arquimides-ordonez/profil/spieler/905609,NA,NA,NA
Bismark Adjei-Boateng,1994,https://fbref.com/en/players/222bc419/Bismark-Adjei-Boateng,Colorado Rapids,gh GHA,NA,https://www.transfermarkt.com/nana-boateng/profil/spieler/236272,NA,NA,NA
Boris Sekulić,1991,https://fbref.com/en/players/adf26bd4/Boris-Sekulic,Chicago Fire,sk SVK,NA,https://www.transfermarkt.com/boris-sekulic/profil/spieler/217709,NA,NA,NA
Christian Torres,2004,https://fbref.com/en/players/93bb2262/Christian-Torres,Los Angeles FC,mx MEX,NA,https://www.transfermarkt.com/christian-torres/profil/spieler/792334,NA,NA,NA
Cristián Dajome,1994,https://fbref.com/en/players/a065e877/Cristian-Dajome,Vancouver,co COL,NA,https://www.transfermarkt.com/cristian-dajome/profil/spieler/385454,NA,NA,NA
Cristian Roldan,1995,https://fbref.com/en/players/48875649/Cristian-Roldan,Seattle,us USA,NA,https://www.transfermarkt.com/cristian-roldan/profil/spieler/354792,NA,NA,NA
Dario Župarić,1992,https://fbref.com/en/players/c6f99e42/Dario-Zuparic,Portland Timbers,ba BIH,NA,https://www.transfermarkt.com/dario-zuparic/profil/spieler/165381,NA,NA,NA
Derrick Etienne,1996,https://fbref.com/en/players/59059f1e/Derrick-Etienne,Columbus Crew,ht HAI,NA,https://www.transfermarkt.com/derrick-etienne-jr-/profil/spieler/354763,NA,NA,NA
Diego Gutierrez,1999,https://fbref.com/en/players/4903a306/Diego-Gutierrez,Portland Timbers,us USA,NA,https://www.transfermarkt.com/diego-gutierrez/profil/spieler/988941,NA,NA,NA
Diego Valeri,1986,https://fbref.com/en/players/31da63ad/Diego-Valeri,Portland Timbers,ar ARG,NA,https://www.transfermarkt.com/diego-valeri/profil/spieler/54588,NA,NA,NA
Donasiyano Irakoze,1998,https://fbref.com/en/players/6195efdb/Donasiyano-Irakoze,Nashville,bi BDI,NA,https://www.transfermarkt.com/irakoze-donasiyano/profil/spieler/638739,NA,NA,NA
Đorđe Petrović,1999,https://fbref.com/en/players/0cf321c8/Djordje-Petrovic,New England,rs SRB,NA,https://www.transfermarkt.com/djordje-petrovic/profil/spieler/465555,NA,NA,NA
Douglas Martinez,1997,https://fbref.com/en/players/3e7ebb9a/Douglas-Martinez,Real Salt Lake,hn HON,NA,https://www.transfermarkt.com/douglas-martinez/profil/spieler/443384,NA,NA,NA
Eduardo Sosa,1997,https://fbref.com/en/players/b799f70d/Eduardo-Sosa,Columbus Crew,ve VEN,NA,https://www.transfermarkt.com/eduardo-sosa/profil/spieler/377377,NA,NA,NA
Efrain Alvarez,2002,https://fbref.com/en/players/3cd08ab7/Efrain-Alvarez,LA Galaxy,mx MEX,NA,https://www.transfermarkt.com/efrain-alvarez/profil/spieler/504113,NA,NA,NA
Eric Lopez,1999,https://fbref.com/en/players/7a0905af/Eric-Lopez,LA Galaxy,us USA,NA,https://www.transfermarkt.com/eric-lopez/profil/spieler/332707,NA,NA,NA
Erik Duenas,2004,https://fbref.com/en/players/6a8e0145/Erik-Duenas,Los Angeles FC,us USA,NA,https://www.transfermarkt.com/erik-duenas/profil/spieler/792335,NA,NA,NA
Esmir Bajraktarevic,,https://fbref.com/en/players/dff24174/Esmir-Bajraktarevic,New England,,NA,https://www.transfermarkt.com/esmir-bajraktarevic/profil/spieler/925862,NA,NA,NA
Fabinho,1985,https://fbref.com/en/players/4e3a17fc/Fabinho,Philadelphia,br BRA,NA,https://www.transfermarkt.com/fabinho/profil/spieler/75081,NA,NA,NA
