"comp_name","region","country","season_start_year","squad","player_name","player_position","player_dob","player_nationality","player_market_value_euro","player_url","tm_surname","tm_yob"
"MLS","Americas","United States",2021,"New England Revolution","A. J. DeLaGarza","Right-Back",1987-11-04,"Guam",2e+05,"https://www.transfermarkt.com/a-j-delagarza/profil/spieler/105997","DeLaGarza","1987"
"MLS","Americas","United States",2021,"Real Salt Lake City","Aaron Herrera","Right-Back",1997-06-06,"United States",2e+06,"https://www.transfermarkt.com/aaron-herrera/profil/spieler/401362","Herrera","1997"
"MLS","Americas","United States",2021,"New York Red Bulls","Aaron Long","Centre-Back",1992-10-12,"United States",3e+06,"https://www.transfermarkt.com/aaron-long/profil/spieler/271072","Long","1992"
"MLS","Americas","United States",2019,"Minnesota United FC","Aaron Schoenfeld","Centre-Forward",1990-04-17,"Israel",3e+05,"https://www.transfermarkt.com/aaron-schoenfeld/profil/spieler/218314","Schoenfeld","1990"
"MLS","Americas","United States",2018,"New York City FC","Abdi Mohamed","Right-Back",1996-10-25,"Somalia",NA,"https://www.transfermarkt.com/abdi-mohamed/profil/spieler/637318","Mohamed","1996"
"MLS","Americas","United States",2021,"D.C. United","Abdoul Zanne","Midfield",2003-02-18,"Cote d'Ivoire",75000,"https://www.transfermarkt.com/abdoul-zanne/profil/spieler/993310","Zanne","2003"
"MLS","Americas","United States",2021,"Seattle Sounders FC","Abdoulaye Cissoko","Centre-Back",1999-12-27,"France",6e+05,"https://www.transfermarkt.com/abdoulaye-cissoko/profil/spieler/705864","Cissoko","1999"
"MLS","Americas","United States",2019,"Colorado Rapids","Abdul Rwatubyaye","Centre-Back",1996-10-23,"Rwanda",150000,"https://www.transfermarkt.com/abdul-rwatubyaye/profil/spieler/368580","Rwatubyaye","1996"
"MLS","Americas","United States",2021,"Inter Miami CF","Abel Caputo","Defensive Midfield",2000-11-07,"Venezuela",75000,"https://www.transfermarkt.com/abel-caputo/profil/spieler/677694","Caputo","2000"
"MLS","Americas","United States",2021,"Columbus Crew","Aboubacar Keita","Centre-Back",2000-04-06,"United States",1e+06,"https://www.transfermarkt.com/aboubacar-keita/profil/spieler/638733","Keita","2000"
"MLS","Americas","United States",2021,"Colorado Rapids","Abraham Rodriguez","Goalkeeper",2002-07-19,"United States",175000,"https://www.transfermarkt.com/abraham-rodriguez/profil/spieler/659765","Rodriguez","2002"
"MLS","Americas","United States",2021,"Minnesota United FC","Abu Danladi","Centre-Forward",1995-10-18,"Ghana",6e+05,"https://www.transfermarkt.com/abu-danladi/profil/spieler/476676","Danladi","1995"
"MLS","Americas","United States",2021,"Houston Dynamo FC","Adalberto Carrasquilla","Central Midfield",1998-11-28,"Panama",1e+06,"https://www.transfermarkt.com/adalberto-carrasquilla/profil/spieler/375300","Carrasquilla","1998"
"MLS","Americas","United States",2021,"Charlotte FC","Adam Armour","Left-Back",2002-09-27,"United States",150000,"https://www.transfermarkt.com/adam-armour/profil/spieler/627199","Armour","2002"
"MLS","Americas","United States",2021,"New England Revolution","Adam Buksa","Centre-Forward",1996-07-12,"Poland",9e+06,"https://www.transfermarkt.com/adam-buksa/profil/spieler/267160","Buksa","1996"
"MLS","Americas","United States",2021,"Orlando City SC","Adam Grinwis","Goalkeeper",1992-04-21,"United States",150000,"https://www.transfermarkt.com/adam-grinwis/profil/spieler/228150","Grinwis","1992"
