"Player","Born","Url","Squad","Nation","player_dob","player_url","tm_squad","tm_nationality","player_position","comp_name","region","country","season_start_year","squad","player_nationality","player_market_value_euro"
"Breno","2000","https://fbref.com/en/players/083374b7/Breno","Botafogo (RJ)","br BRA",2000-01-01,"https://www.transfermarkt.com/breno/profil/spieler/598545","Boavista FC","Portugal","Left-Back",NA,NA,NA,NA,NA,NA,NA
"Breno","2000","https://fbref.com/en/players/083374b7/Breno","Botafogo (RJ)","br BRA",2000-09-01,"https://www.transfermarkt.com/breno/profil/spieler/697400","Botafogo de Futebol e Regatas","Brazil","Defensive Midfield",NA,NA,NA,NA,NA,NA,NA
"Breno","2000","https://fbref.com/en/players/5c718115/Breno","Boavista","pt POR",2000-01-01,"https://www.transfermarkt.com/breno/profil/spieler/598545","Boavista FC","Portugal","Left-Back",NA,NA,NA,NA,NA,NA,NA
"Breno","2000","https://fbref.com/en/players/5c718115/Breno","Boavista","pt POR",2000-09-01,"https://www.transfermarkt.com/breno/profil/spieler/697400","Botafogo de Futebol e Regatas","Brazil","Defensive Midfield",NA,NA,NA,NA,NA,NA,NA
"Bruninho","2000","https://fbref.com/en/players/f7a3e78a/Bruninho","Juventude","br BRA",2000-04-27,"https://www.transfermarkt.com/bruninho/profil/spieler/584083","Esporte Clube Juventude","Brazil","Attacking Midfield",NA,NA,NA,NA,NA,NA,NA
"Bruninho","2000","https://fbref.com/en/players/f7a3e78a/Bruninho","Juventude","br BRA",2000-06-15,"https://www.transfermarkt.com/bruninho/profil/spieler/862362","Cuiabá Esporte Clube (MT)","Brazil","Central Midfield",NA,NA,NA,NA,NA,NA,NA
"Cristiano","2001","https://fbref.com/en/players/a594bc5f/Cristiano","Sport Recife","br BRA",2001-08-31,"https://www.transfermarkt.com/cristiano/profil/spieler/729284","Sport Club do Recife","Brazil","Right Winger",NA,NA,NA,NA,NA,NA,NA
"Cristiano","2001","https://fbref.com/en/players/a594bc5f/Cristiano","Sport Recife","br BRA",2001-02-20,"https://www.transfermarkt.com/cristiano/profil/spieler/902135","Red Bull Bragantino","Brazil","Attacking Midfield",NA,NA,NA,NA,NA,NA,NA
"Daniel López","2000","https://fbref.com/en/players/ae6c8c81/Daniel-Lopez","Tijuana","mx MEX",2000-03-14,"https://www.transfermarkt.com/daniel-lopez/profil/spieler/540316","Club Tijuana","Mexico","Centre-Forward",NA,NA,NA,NA,NA,NA,NA
"Daniel López","2000","https://fbref.com/en/players/ae6c8c81/Daniel-Lopez","Tijuana","mx MEX",2000-07-12,"https://www.transfermarkt.com/daniel-lopez/profil/spieler/828255","CD Cruz Azul","Mexico","Centre-Forward",NA,NA,NA,NA,NA,NA,NA
"Danilo","2001","https://fbref.com/en/players/a816dbfb/Danilo","Palmeiras","br BRA",2001-08-04,"https://www.transfermarkt.com/danilo/profil/spieler/738498","Atlético Clube Goianiense","Brazil","Centre-Back",NA,NA,NA,NA,NA,NA,NA
"Danilo","2001","https://fbref.com/en/players/a816dbfb/Danilo","Palmeiras","br BRA",2001-04-29,"https://www.transfermarkt.com/danilo/profil/spieler/808509","Sociedade Esportiva Palmeiras","Brazil","Defensive Midfield",NA,NA,NA,NA,NA,NA,NA
"Danilo","2001","https://fbref.com/en/players/d0f80d85/Danilo","Atl Goianiense","",2001-08-04,"https://www.transfermarkt.com/danilo/profil/spieler/738498","Atlético Clube Goianiense","Brazil","Centre-Back",NA,NA,NA,NA,NA,NA,NA
"Danilo","2001","https://fbref.com/en/players/d0f80d85/Danilo","Atl Goianiense","",2001-04-29,"https://www.transfermarkt.com/danilo/profil/spieler/808509","Sociedade Esportiva Palmeiras","Brazil","Defensive Midfield",NA,NA,NA,NA,NA,NA,NA
"Davi","2002","https://fbref.com/en/players/d3ab5f4f/Davi","Ceará","br BRA",2002-10-10,"https://www.transfermarkt.com/davi/profil/spieler/733337","Ceará Sporting Club","Brazil","Goalkeeper",NA,NA,NA,NA,NA,NA,NA
"Davi","2002","https://fbref.com/en/players/d3ab5f4f/Davi","Ceará","br BRA",2002-01-30,"https://www.transfermarkt.com/davi/profil/spieler/994623","Fluminense Football Club","Brazil","Centre-Back",NA,NA,NA,NA,NA,NA,NA
"David","1995","https://fbref.com/en/players/92f9ace5/David","Internacional","br BRA",1995-06-16,"https://www.transfermarkt.com/david/profil/spieler/371212","Paraná Clube","Brazil","Goalkeeper",NA,NA,NA,NA,NA,NA,NA
"David","1995","https://fbref.com/en/players/92f9ace5/David","Internacional","br BRA",1995-10-17,"https://www.transfermarkt.com/david/profil/spieler/373189","Sport Club Internacional","Brazil","Left Winger",NA,NA,NA,NA,NA,NA,NA
"Douglas","1990","https://fbref.com/en/players/71687133/Douglas","Chapecoense","br BRA",1990-04-04,"https://www.transfermarkt.com/douglas/profil/spieler/101304","Associação Chapecoense de Futebol","Brazil","Centre-Back",NA,NA,NA,NA,NA,NA,NA
"Douglas","1990","https://fbref.com/en/players/71687133/Douglas","Chapecoense","br BRA",1990-08-06,"https://www.transfermarkt.com/douglas/profil/spieler/58426","SL Benfica","Brazil","Right-Back",NA,NA,NA,NA,NA,NA,NA
"Dudu","1999","https://fbref.com/en/players/5d24ad61/Dudu","Nacional","br BRA",1999-05-20,"https://www.transfermarkt.com/dudu/profil/spieler/530644","Ceará Sporting Club","Brazil","Centre-Forward",NA,NA,NA,NA,NA,NA,NA
