Player,Born,Url,Squad,Nation,player_dob,player_url,tm_squad,tm_nationality,player_position,comp_name,region,country,season_start_year,squad,player_nationality,player_market_value_euro
Breno,2000,https://fbref.com/en/players/083374b7/Breno,Botafogo (RJ),br BRA,1/9/2000,https://www.transfermarkt.com/breno/profil/spieler/697400,Botafogo de Futebol e Regatas,Brazil,Defensive Midfield,NA,NA,NA,NA,NA,NA,NA
Breno,2000,https://fbref.com/en/players/5c718115/Breno,Boavista,pt POR,1/1/2000,https://www.transfermarkt.com/breno/profil/spieler/598545,Boavista FC,Portugal,Left-Back,NA,NA,NA,NA,NA,NA,NA
Bruninho,2000,https://fbref.com/en/players/f7a3e78a/Bruninho,Juventude,br BRA,27/4/2000,https://www.transfermarkt.com/bruninho/profil/spieler/584083,Esporte Clube Juventude,Brazil,Attacking Midfield,NA,NA,NA,NA,NA,NA,NA
Cristiano,2001,https://fbref.com/en/players/a594bc5f/Cristiano,Sport Recife,br BRA,31/8/2001,https://www.transfermarkt.com/cristiano/profil/spieler/729284,Sport Club do Recife,Brazil,Right Winger,NA,NA,NA,NA,NA,NA,NA
Daniel López,2000,https://fbref.com/en/players/ae6c8c81/Daniel-Lopez,Tijuana,mx MEX,14/3/2000,https://www.transfermarkt.com/daniel-lopez/profil/spieler/540316,Club Tijuana,Mexico,Centre-Forward,NA,NA,NA,NA,NA,NA,NA
Danilo,2001,https://fbref.com/en/players/a816dbfb/Danilo,Palmeiras,br BRA,29/4/2001,https://www.transfermarkt.com/danilo/profil/spieler/808509,Sociedade Esportiva Palmeiras,Brazil,Defensive Midfield,NA,NA,NA,NA,NA,NA,NA
Danilo,2001,https://fbref.com/en/players/d0f80d85/Danilo,Atl Goianiense,,4/8/2001,https://www.transfermarkt.com/danilo/profil/spieler/738498,Atlético Clube Goianiense,Brazil,Centre-Back,NA,NA,NA,NA,NA,NA,NA
Davi,2002,https://fbref.com/en/players/d3ab5f4f/Davi,Ceará,br BRA,10/10/2002,https://www.transfermarkt.com/davi/profil/spieler/733337,Ceará Sporting Club,Brazil,Goalkeeper,NA,NA,NA,NA,NA,NA,NA
David,1995,https://fbref.com/en/players/92f9ace5/David,Internacional,br BRA,17/10/1995,https://www.transfermarkt.com/david/profil/spieler/373189,Sport Club Internacional,Brazil,Left Winger,NA,NA,NA,NA,NA,NA,NA
Douglas,1990,https://fbref.com/en/players/71687133/Douglas,Chapecoense,br BRA,4/4/1990,https://www.transfermarkt.com/douglas/profil/spieler/101304,Associação Chapecoense de Futebol,Brazil,Centre-Back,NA,NA,NA,NA,NA,NA,NA
Dudu,1999,https://fbref.com/en/players/5d24ad61/Dudu,Nacional,br BRA,10/8/1999,https://www.transfermarkt.com/dudu/profil/spieler/594561,CD Nacional,Brazil,Centre-Forward,NA,NA,NA,NA,NA,NA,NA
Erick,1997,https://fbref.com/en/players/8a826636/Erick,Atl Paranaense,br BRA,10/12/1997,https://www.transfermarkt.com/erick/profil/spieler/515638,Ceará Sporting Club,Brazil,Right Winger,NA,NA,NA,NA,NA,NA,NA
Erick,1997,https://fbref.com/en/players/8edcad0d/Erick,Ceará,br BRA,10/12/1997,https://www.transfermarkt.com/erick/profil/spieler/515638,Ceará Sporting Club,Brazil,Right Winger,NA,NA,NA,NA,NA,NA,NA
Fabrício,2000,https://fbref.com/en/players/2b137c0c/Fabricio,Bragantino,br BRA,15/6/2000,https://www.transfermarkt.com/fabricio/profil/spieler/722457,Red Bull Bragantino,Brazil,Goalkeeper,NA,NA,NA,NA,NA,NA,NA
Fabrício,1990,https://fbref.com/en/players/2ddf9f3f/Fabricio,Veracruz,br BRA,20/2/1990,https://www.transfermarkt.com/fabricio/profil/spieler/86917,Tiburones Rojos de Veracruz,Brazil,Centre-Back,NA,NA,NA,NA,NA,NA,NA
Fabrício,2000,https://fbref.com/en/players/e2290a67/Fabricio,Grêmio,br BRA,8/10/2000,https://www.transfermarkt.com/fabricio/profil/spieler/642589,Grêmio Foot-Ball Porto Alegrense,Brazil,Centre-Forward,NA,NA,NA,NA,NA,NA,NA
Heitor,2000,https://fbref.com/en/players/e0839492/Heitor,Internacional,br BRA,5/11/2000,https://www.transfermarkt.com/heitor/profil/spieler/670969,Sport Club Internacional,Brazil,Right-Back,NA,NA,NA,NA,NA,NA,NA
Heitor,2000,https://fbref.com/en/players/e31f281f/Heitor,Grêmio,br BRA,27/4/2000,https://www.transfermarkt.com/heitor/profil/spieler/815672,Grêmio Foot-Ball Porto Alegrense,Brazil,Centre-Back,NA,NA,NA,NA,NA,NA,NA
Henrique,1986,https://fbref.com/en/players/429163de/Henrique,Coritiba,br BRA,14/10/1986,https://www.transfermarkt.com/henrique/profil/spieler/52513,Coritiba Foot Ball Club,Brazil,Centre-Back,NA,NA,NA,NA,NA,NA,NA
James Brown,1998,https://fbref.com/en/players/96c67a33/James-Brown,Millwall,mt MLT,12/1/1998,https://www.transfermarkt.com/james-brown/profil/spieler/467540,Millwall FC,Malta,Right-Back,NA,NA,NA,NA,NA,NA,NA
James Brown,1998,https://fbref.com/en/players/e53336c4/James-Brown,Blackburn,ie IRL,4/6/1998,https://www.transfermarkt.com/james-brown/profil/spieler/437573,Blackburn Rovers,Ireland,Right-Back,NA,NA,NA,NA,NA,NA,NA
João Neto,2003,https://fbref.com/en/players/57130d7b/Joao-Neto,Fluminense,br BRA,10/7/2003,https://www.transfermarkt.com/joao-neto/profil/spieler/875339,Fluminense Football Club,Brazil,Left Winger,NA,NA,NA,NA,NA,NA,NA
João Pedro,1996,https://fbref.com/en/players/31d1ed52/Joao-Pedro,Corinthians,br BRA,15/11/1996,https://www.transfermarkt.com/joao-pedro/profil/spieler/342024,Sport Club Corinthians Paulista,Brazil,Right-Back,NA,NA,NA,NA,NA,NA,NA
João Victor,2002,https://fbref.com/en/players/ce60681a/Joao-Victor,Atl Paranaense,br BRA,6/4/2002,https://www.transfermarkt.com/joao-victor/profil/spieler/820800,Club Athletico Paranaense,Brazil,Central Midfield,NA,NA,NA,NA,NA,NA,NA
Joel Pereira,1996,https://fbref.com/en/players/273cdcb1/Joel-Pereira,Gil Vicente FC,pt POR,28/9/1996,https://www.transfermarkt.com/joel-pereira/profil/spieler/225165,Gil Vicente FC,Portugal,Right-Back,NA,NA,NA,NA,NA,NA,NA
José Chávez,1997,https://fbref.com/en/players/2ca40180/Jose-Chavez,Veracruz,mx MEX,18/2/1997,https://www.transfermarkt.com/jose-chavez/profil/spieler/415961,Tiburones Rojos de Veracruz,Mexico,Attack,NA,NA,NA,NA,NA,NA,NA
Juninho,2001,https://fbref.com/en/players/5d2961ce/Juninho,Vasco da Gama,br BRA,23/1/2001,https://www.transfermarkt.com/juninho/profil/spieler/740271,Club de Regatas Vasco da Gama,Brazil,Central Midfield,NA,NA,NA,NA,NA,NA,NA
Juninho,1995,https://fbref.com/en/players/72c01cfb/Juninho,Bahia,br BRA,1/2/1995,https://www.transfermarkt.com/juninho/profil/spieler/383638,Esporte Clube Bahia,Brazil,Centre-Back,NA,NA,NA,NA,NA,NA,NA
Lucas Rodríguez,1997,https://fbref.com/en/players/815f4240/Lucas-Rodriguez,Tijuana,ar ARG,27/4/1997,https://www.transfermarkt.com/lucas-rodriguez/profil/spieler/380996,Club Tijuana,Argentina,Left Winger,NA,NA,NA,NA,NA,NA,NA
Lucas Rodríguez,1997,https://fbref.com/en/players/bff5525c/Lucas-Rodriguez,Atlas,uy URU,25/2/1997,https://www.transfermarkt.com/lucas-rodriguez/profil/spieler/671950,Atlas Guadalajara,Uruguay,Left Winger,NA,NA,NA,NA,NA,NA,NA
Luiz Henrique,1999,https://fbref.com/en/players/137f30c0/Luiz-Henrique,Fortaleza,br BRA,18/3/1999,https://www.transfermarkt.com/luiz-henrique/profil/spieler/689521,Fortaleza Esporte Clube,Brazil,Attacking Midfield,NA,NA,NA,NA,NA,NA,NA
Luiz Henrique,1999,https://fbref.com/en/players/d61653a7/Luiz-Henrique,Santos,br BRA,3/5/1999,https://www.transfermarkt.com/luiz-henrique/profil/spieler/631275,Santos FC,Brazil,Attacking Midfield,NA,NA,NA,NA,NA,NA,NA
Marcinho,1995,https://fbref.com/en/players/5465c7f9/Marcinho,Avaí,br BRA,8/6/1995,https://www.transfermarkt.com/marcinho/profil/spieler/514500,Avaí Futebol Clube (SC),Brazil,Right Winger,NA,NA,NA,NA,NA,NA,NA
Marcinho,1995,https://fbref.com/en/players/a3d52b5d/Marcinho,Fortaleza,br BRA,16/5/1995,https://www.transfermarkt.com/marcinho/profil/spieler/520081,Fortaleza Esporte Clube,Brazil,Left Winger,NA,NA,NA,NA,NA,NA,NA
Marco Antônio,2000,https://fbref.com/en/players/6c94b9c2/Marco-Antonio,Goiás,br BRA,15/7/2000,https://www.transfermarkt.com/marco-antonio/profil/spieler/371997,Goiás Esporte Clube,Brazil,Attacking Midfield,NA,NA,NA,NA,NA,NA,NA
Marlon,1997,https://fbref.com/en/players/63969d01/Marlon,Fluminense,br BRA,20/5/1997,https://www.transfermarkt.com/marlon/profil/spieler/406675,Fluminense Football Club,Brazil,Left-Back,NA,NA,NA,NA,NA,NA,NA
Nathan,2001,https://fbref.com/en/players/9fb6420e/Nathan,Santos,br BRA,5/9/2001,https://www.transfermarkt.com/nathan/profil/spieler/740273,Boavista FC,Brazil,Right-Back,NA,NA,NA,NA,NA,NA,NA
Nathan,2001,https://fbref.com/en/players/eb61284b/Nathan,Goiás,br BRA,20/3/2001,https://www.transfermarkt.com/nathan/profil/spieler/880248,Goiás Esporte Clube,Brazil,Defensive Midfield,NA,NA,NA,NA,NA,NA,NA
Pablo,1992,https://fbref.com/en/players/1ad394c5/Pablo,Atl Paranaense,br BRA,23/6/1992,https://www.transfermarkt.com/pablo/profil/spieler/148765,Club Athletico Paranaense,Brazil,Centre-Forward,NA,NA,NA,NA,NA,NA,NA
Paulo Henrique,1996,https://fbref.com/en/players/25a0cb08/Paulo-Henrique,Juventude,br BRA,25/7/1996,https://www.transfermarkt.com/paulo-henrique/profil/spieler/412594,Esporte Clube Juventude,Brazil,Right Winger,NA,NA,NA,NA,NA,NA,NA
Pedrinho,2002,https://fbref.com/en/players/15692fb2/Pedrinho,São Paulo,br BRA,18/2/2002,https://www.transfermarkt.com/pedrinho/profil/spieler/729263,São Paulo Futebol Clube,Brazil,Attacking Midfield,NA,NA,NA,NA,NA,NA,NA
Pedrinho,2002,https://fbref.com/en/players/64aadf6b/Pedrinho,Atl Paranaense,br BRA,11/7/2002,https://www.transfermarkt.com/pedrinho/profil/spieler/858712,Club Athletico Paranaense,Brazil,Left-Back,NA,NA,NA,NA,NA,NA,NA
Rafael Santos,1998,https://fbref.com/en/players/b1d9070d/Rafael-Santos,Flamengo,br BRA,2/2/1998,https://www.transfermarkt.com/rafael-santos/profil/spieler/603137,Clube de Regatas do Flamengo,Brazil,Centre-Back,NA,NA,NA,NA,NA,NA,NA
Rafael Santos,1998,https://fbref.com/en/players/c72a6057/Rafael-Santos,Coritiba,br BRA,5/2/1998,https://www.transfermarkt.com/rafael-santos/profil/spieler/625617,Coritiba Foot Ball Club,Brazil,Left-Back,NA,NA,NA,NA,NA,NA,NA
Rafinha,1992,https://fbref.com/en/players/0a303102/Rafinha,Goiás,br BRA,21/6/1992,https://www.transfermarkt.com/rafinha/profil/spieler/170385,Goiás Esporte Clube,Brazil,Right Winger,NA,NA,NA,NA,NA,NA,NA
