Player,Born,Url,player_url
Abdul Fatawu Issahaku,2004,https://fbref.com/en/players/bceda5ff/Abdul-Fatawu-Issahaku,https://www.transfermarkt.com/issahaku-fatawu/profil/spieler/864121
Abdul-Aziz Yakubu,1998,https://fbref.com/en/players/052ac6d5/Abdul-Aziz-Yakubu,https://www.transfermarkt.com/aziz/profil/spieler/503212
Adailson Dadá,1997,https://fbref.com/en/players/2a75cc09/Adailson-Dada,https://www.transfermarkt.com/dada-belmonte/profil/spieler/546253
Adam Dźwigała,1995,https://fbref.com/en/players/75edc8ce/Adam-Dzwigala,https://www.transfermarkt.com/adam-dzwigala/profil/spieler/236966
Adi Mehremić,1992,https://fbref.com/en/players/00eb1f49/Adi-Mehremic,https://www.transfermarkt.com/adi-mehremic/profil/spieler/192897
Adílson Warken,1987,https://fbref.com/en/players/50ef4816/Adilson-Warken,https://www.transfermarkt.com/adilson/profil/spieler/52408
Adlène Guedioura,1985,https://fbref.com/en/players/f75825e3/Adlene-Guedioura,https://www.transfermarkt.com/adlene-guedioura/profil/spieler/74768
Adolfo Domínguez Gerardo,1991,https://fbref.com/en/players/b805a7f8/Adolfo-Dominguez-Gerardo,https://www.transfermarkt.com/adolfo-dominguez/profil/spieler/220934
Adrian Szöke,1998,https://fbref.com/en/players/692ab0c7/Adrian-Szoke,https://www.transfermarkt.com/adrian-sz%C5%91ke/profil/spieler/404705
Afonso freitas,2000,https://fbref.com/en/players/f332f667/Afonso-freitas,https://www.transfermarkt.com/afonso-freitas/profil/spieler/448264
Agenor Detofol,1989,https://fbref.com/en/players/2cdeba2b/Agenor-Detofol,https://www.transfermarkt.com/agenor/profil/spieler/74584
Aidan Francis,2002,https://fbref.com/en/players/38c29201/Aidan-Francis,https://www.transfermarkt.com/aidan-francis/profil/spieler/802230
Airton Moraes,1994,https://fbref.com/en/players/5e8682b0/Airton-Moraes,https://www.transfermarkt.com/airton/profil/spieler/377799
Alaa Abbas,1997,https://fbref.com/en/players/21e285cc/Alaa-Abbas,https://www.transfermarkt.com/alaa-abbas/profil/spieler/560958
Alan,1999,https://fbref.com/en/players/c7996bc8/Alan,https://www.transfermarkt.com/alan-uchoa/profil/spieler/689559
Alan Carvalho,1989,https://fbref.com/en/players/ebb2d232/Alan-Carvalho,https://www.transfermarkt.com/alan/profil/spieler/73460
Aldo Llanas,,https://fbref.com/en/players/d8ca630d/Aldo-Llanas,https://www.transfermarkt.com/emmanuel-llanas/profil/spieler/1029443
Ale,1990,https://fbref.com/en/players/b7d9347d/Ale,https://www.transfermarkt.com/aletm/profil/spieler/543614
Alejandro Alvarado Jr.,2003,https://fbref.com/en/players/14c93be3/Alejandro-Alvarado-Jr,https://www.transfermarkt.com/alejandro-alvarado/profil/spieler/763798
Alejandro Díaz Liceága,1996,https://fbref.com/en/players/6e259571/Alejandro-Diaz-Liceaga,https://www.transfermarkt.com/alejandro-diaz/profil/spieler/295390
Aleksandar Paločević,1993,https://fbref.com/en/players/1a2b755b/Aleksandar-Palocevic,https://www.transfermarkt.com/aleksandar-palocevic/profil/spieler/192740
Alessandro,1999,https://fbref.com/en/players/886ad34f/Alessandro,https://www.transfermarkt.com/alessandro-furtado/profil/spieler/688897
Alex Mitchell,,https://fbref.com/en/players/152bcd76/Alex-Mitchell,https://www.transfermarkt.com/alex-mitchell/profil/spieler/746094
Alexander Milošević,1992,https://fbref.com/en/players/2f065e3a/Alexander-Milosevic,https://www.transfermarkt.com/alexander-milosevic/profil/spieler/171376
Alexandre Manuel Penetra Correia,2001,https://fbref.com/en/players/df4b73f0/Alexandre-Manuel-Penetra-Correia,https://www.transfermarkt.com/alexandre-penetra/profil/spieler/479643
Alexandre Melo,1999,https://fbref.com/en/players/32baeadd/Alexandre-Melo,https://www.transfermarkt.com/alexandre/profil/spieler/702290
Alexandre Rodrigues Soares,1990,https://fbref.com/en/players/145abfa1/Alexandre-Rodrigues-Soares,https://www.transfermarkt.com/xandao/profil/spieler/439389
Alexei Koșelev,1993,https://fbref.com/en/players/5594f2ee/Alexei-Koselev,https://www.transfermarkt.com/alexei-coselev/profil/spieler/136109
Alfonso Blanco Antúnez,1987,https://fbref.com/en/players/dce4c80e/Alfonso-Blanco-Antunez,https://www.transfermarkt.com/alfonso-blanco/profil/spieler/63333
Almoatasembellah Ali,1996,https://fbref.com/en/players/cd6a1a59/Almoatasembellah-Ali,https://www.transfermarkt.com/al-musrati/profil/spieler/377641
Aloísio dos Santos Gonçalves,1988,https://fbref.com/en/players/9851b2e0/Aloisio-dos-Santos-Goncalves,https://www.transfermarkt.com/aloisio/profil/spieler/55246
Álvarinho,1990,https://fbref.com/en/players/a81bc44d/Alvarinho,https://www.transfermarkt.com/alvarinho/profil/spieler/176906
Álvaro djaló,1999,https://fbref.com/en/players/45c29ae7/Alvaro-djalo,https://www.transfermarkt.com/alvaro-djalo/profil/spieler/671649
Álvaro Fernández,2003,https://fbref.com/en/players/33a68b9b/Alvaro-Fernandez,https://www.transfermarkt.com/alvaro-fernandez/profil/spieler/811778
Alyson Neves,1996,https://fbref.com/en/players/566c4795/Alyson-Neves,https://www.transfermarkt.com/alyson/profil/spieler/592364
Amar Ćatić,1999,https://fbref.com/en/players/f7c398ec/Amar-Catic,https://www.transfermarkt.com/amar-catic/profil/spieler/450195
Amine Oudrhiri,1992,https://fbref.com/en/players/49c9c79a/Amine-Oudrhiri,https://www.transfermarkt.com/amine/profil/spieler/306668
Anderson Jesus,1995,https://fbref.com/en/players/d4d63c3f/Anderson-Jesus,https://www.transfermarkt.com/anderson/profil/spieler/539183
Andraž Šporar,1994,https://fbref.com/en/players/878f0921/Andraz-Sporar,https://www.transfermarkt.com/andraz-sporar/profil/spieler/179860
André,1990,https://fbref.com/en/players/13b52dec/Andre,https://www.transfermarkt.com/andre-felipe/profil/spieler/104509
Andre Brooks,2003,https://fbref.com/en/players/5f346071/Andre-Brooks,https://www.transfermarkt.com/andre-brooks/profil/spieler/746739
André Inácio,2002,https://fbref.com/en/players/cc77d69c/Andre-Inacio,https://www.transfermarkt.com/andre-luiz/profil/spieler/919262
André Simões,2003,https://fbref.com/en/players/edc7be9d/Andre-Simoes,https://www.transfermarkt.com/andre-simoes/profil/spieler/914629
Andrei Chindriş,1999,https://fbref.com/en/players/1035d300/Andrei-Chindris,https://www.transfermarkt.com/andrei-chindris/profil/spieler/435731
