"comp_name","region","country","season_start_year","squad","player_name","player_position","player_dob","player_nationality","player_market_value_euro","player_url","tm_surname","tm_yob"
"Championship",NA,"England",2021,"Barnsley FC","Aapo Halme","Centre-Back",1998-05-22,"Finland",NA,"https://www.transfermarkt.com/aapo-halme/profil/spieler/322984","Halme","1998"
"Eredivisie","Europe","Netherlands",2020,"VVV-Venlo","Aaron Bastiaans","Left Winger",2002-04-04,"Netherlands",NA,"https://www.transfermarkt.com/aaron-bastiaans/profil/spieler/578459","Bastiaans","2002"
"Championship",NA,"England",2020,"Birmingham City","Aaron Clayton","Goalkeeper",2002-11-22,"England",NA,"https://www.transfermarkt.com/aaron-clayton/profil/spieler/799173","Clayton","2002"
"Championship",NA,"England",2017,"Wolverhampton Wanderers","Aaron Collins","Centre-Forward",1997-05-27,"Wales",NA,"https://www.transfermarkt.com/aaron-collins/profil/spieler/341042","Collins","1997"
"Championship",NA,"England",2021,"Middlesbrough FC","Aaron Connolly","Centre-Forward",2000-01-28,"Ireland",6e+06,"https://www.transfermarkt.com/aaron-connolly/profil/spieler/434207","Connolly","2000"
"Championship",NA,"England",2021,"Queens Park Rangers","Aaron Drewe","Centre-Back",2001-02-08,"England",NA,"https://www.transfermarkt.com/aaron-drewe/profil/spieler/683846","Drewe","2001"
"Championship",NA,"England",2018,"Ipswich Town","Aaron Drinan","Centre-Forward",1998-05-06,"Ireland",NA,"https://www.transfermarkt.com/aaron-drinan/profil/spieler/466106","Drinan","1998"
"Liga MX Clausura","Americas","Mexico",2017,"Club Necaxa","Aarón Fernández","Goalkeeper",1987-07-30,"Mexico",NA,"https://www.transfermarkt.com/aaron-fernandez/profil/spieler/103864","Fernández","1987"
"Championship",NA,"England",2019,"Charlton Athletic","Aaron Henry","Defensive Midfield",2003-08-31,"England",NA,"https://www.transfermarkt.com/aaron-henry/profil/spieler/655988","Henry","2003"
"Championship",NA,"England",2018,"Swansea City","Aaron Lewis","Right-Back",1998-06-26,"Wales",NA,"https://www.transfermarkt.com/aaron-lewis/profil/spieler/344014","Lewis","1998"
"Championship",NA,"England",2021,"Barnsley FC","Aaron Leya Iseka","Centre-Forward",1997-11-15,"Belgium",1800000,"https://www.transfermarkt.com/aaron-leya-iseka/profil/spieler/289587","Iseka","1997"
"Eredivisie","Europe","Netherlands",2022,"Sparta Rotterdam","Aaron Meijers","Left-Back",1987-10-28,"Netherlands",NA,"https://www.transfermarkt.com/aaron-meijers/profil/spieler/56836","Meijers","1987"
"Eredivisie","Europe","Netherlands",2020,"Willem II Tilburg","Aaron Menelik","Central Midfield",2002-03-14,"Netherlands",NA,"https://www.transfermarkt.com/aaron-menelik/profil/spieler/595942","Menelik","2002"
"Championship",NA,"England",2019,"Huddersfield Town","Aaron Mooy","Central Midfield",1990-09-15,"Australia",9500000,"https://www.transfermarkt.com/aaron-mooy/profil/spieler/123951","Mooy","1990"
"Championship",NA,"England",2020,"Brentford FC","Aaron Pressley","Centre-Forward",2001-11-07,"Scotland",NA,"https://www.transfermarkt.com/aaron-pressley/profil/spieler/471003","Pressley","2001"
"Championship",NA,"England",2021,"Sheffield United","Aaron Ramsdale","Goalkeeper",1998-05-14,"England",2.8e+07,"https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568","Ramsdale","1998"
"Championship",NA,"England",2022,"Norwich City","Aaron Ramsey","Attacking Midfield",2003-01-21,"England",3e+06,"https://www.transfermarkt.com/aaron-ramsey/profil/spieler/646658","Ramsey","2003"
