Player,Born,Url,player_dob,player_url,fbref_surname,player_name
Adama Traoré,1995,https://fbref.com/en/players/1a6f2a66/Adama-Traore,28/6/95,https://www.transfermarkt.com/adama-traore/profil/spieler/262608,NA,NA
Adama Traoré,1995,https://fbref.com/en/players/f9edc384/Adama-Traore,5/6/95,https://www.transfermarkt.com/adama-traore/profil/spieler/364405,NA,NA
Guilherme,1991,https://fbref.com/en/players/9e61c019/Guilherme,21/5/91,https://www.transfermarkt.com/guilherme/profil/spieler/139607,NA,NA
Guilherme,1991,https://fbref.com/en/players/8754c7ca/Guilherme,5/4/91,https://www.transfermarkt.com/guilherme/profil/spieler/115382,NA,NA
Rafael,1990,https://fbref.com/en/players/9a1f2e1c/Rafael,9/7/90,https://www.transfermarkt.com/rafael/profil/spieler/61892,NA,NA
Adrián López,1999,https://fbref.com/en/players/c58ebf64/Adrian-Lopez,9/1/99,https://www.transfermarkt.com/adri-lopez/profil/spieler/412042,López,Adri López
Alejandro López,1997,https://fbref.com/en/players/f1887f53/Alejandro-Lopez,2/6/97,https://www.transfermarkt.com/alex-lopez/profil/spieler/313113,López,Álex López
Amadou Dia Ndiaye,2000,https://fbref.com/en/players/1f0ea0a6/Amadou-Dia-Ndiaye,2/1/00,https://www.transfermarkt.com/amadou-ndiaye/profil/spieler/568695,Ndiaye,Amadou Ndiaye
Basit Abdallah,1999,https://fbref.com/en/players/13a0ff99/Basit-Abdallah,1/7/99,https://www.transfermarkt.com/abdallah-basit/profil/spieler/457773,Abdallah,Benrandy Abdallah
Cal Roberts,1997,https://fbref.com/en/players/8e9caf48/Cal-Roberts,14/4/97,https://www.transfermarkt.com/callum-roberts/profil/spieler/288952,Roberts,Callum Roberts
Cristo González,1997,https://fbref.com/en/players/896b5df2/Cristo-Gonzalez,1/4/97,https://www.transfermarkt.com/cristo/profil/spieler/339707,González,Edgar González
Daniel Martín,1998,https://fbref.com/en/players/4df0dff8/Daniel-Martin,8/7/98,https://www.transfermarkt.com/dani-martin/profil/spieler/335221,Martín,Dani Martín
Daniel Torres,1989,https://fbref.com/en/players/87882adc/Daniel-Torres,15/11/89,https://www.transfermarkt.com/dani-torres/profil/spieler/93142,Torres,Dani Torres
David Pereira da Costa,2001,https://fbref.com/en/players/59948ef7/David-Pereira-da-Costa,5/1/01,https://www.transfermarkt.com/david-costa/profil/spieler/719442,Costa,David Costa
Diego Matías Rodríguez,1989,https://fbref.com/en/players/19f4d2c0/Diego-Matias-Rodriguez,25/6/89,https://www.transfermarkt.com/diego-rodriguez/profil/spieler/90800,Rodríguez,Diego Rodríguez
Dion-Curtis Henry,1997,https://fbref.com/en/players/156bb589/Dion-Curtis-Henry,12/9/97,https://www.transfermarkt.com/dion-henry/profil/spieler/345899,Henry,Dion Henry
