"Player","Born","Url","player_dob","player_url"
"Abdallah N'dour",1993,"https://fbref.com/en/players/4749367a/Abdallah-Ndour",NA,NA
"Adam Marušić",1992,"https://fbref.com/en/players/d4535821/Adam-Marusic",NA,NA
"Adam Zreľák",1994,"https://fbref.com/en/players/8c8b4a01/Adam-Zrelak",NA,NA
"Aday",1987,"https://fbref.com/en/players/5890cef1/Aday",NA,NA
"Adem Ljajić",1991,"https://fbref.com/en/players/2648e18f/Adem-Ljajic",NA,NA
"Adrian Bernabe",2001,"https://fbref.com/en/players/548672b4/Adrian-Bernabe",NA,NA
"Adrian Grbić",1996,"https://fbref.com/en/players/4a987ffa/Adrian-Grbic",NA,NA
"Adrian Šemper",1998,"https://fbref.com/en/players/f02dde20/Adrian-Semper",NA,NA
"Adrien Tameze",1994,"https://fbref.com/en/players/8da74c05/Adrien-Tameze",NA,NA
"Ahmed Hegazi",1991,"https://fbref.com/en/players/5540c9dc/Ahmed-Hegazi",NA,NA
"Ailton",1995,"https://fbref.com/en/players/74ced675/Ailton",NA,NA
"Alassane Pléa",1993,"https://fbref.com/en/players/bc6bd723/Alassane-Plea",NA,NA
"Alejandro Balde",2003,"https://fbref.com/en/players/5ccc9672/Alejandro-Balde",NA,NA
"Aleksa Terzić",1999,"https://fbref.com/en/players/3ef0a2d7/Aleksa-Terzic",NA,NA
"Aleksandar Dragović",1991,"https://fbref.com/en/players/6fd8a334/Aleksandar-Dragovic",NA,NA
"Aleksandar Jovanović",1992,"https://fbref.com/en/players/129dd8e7/Aleksandar-Jovanovic",NA,NA
"Aleksandar Mitrović",1994,"https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic",NA,NA
"Aleksandar Radovanović",1993,"https://fbref.com/en/players/09507ffa/Aleksandar-Radovanovic",NA,NA
"Alen Halilović",1996,"https://fbref.com/en/players/a6b9bd00/Alen-Halilovic",NA,NA
"Aleš Matějů",1996,"https://fbref.com/en/players/deb748c9/Ales-Mateju",NA,NA
"Alessandro Burlamaqui",2002,"https://fbref.com/en/players/2ae026d4/Alessandro-Burlamaqui",NA,NA
"Alex",1999,"https://fbref.com/en/players/8c9e7571/Alex",NA,NA
"Álex Centelles",1997,"https://fbref.com/en/players/ae852b7d/Alex-Centelles",NA,NA
"Alexander",1988,"https://fbref.com/en/players/3e1858af/Alexander",NA,NA
"Alexander Kačaniklić",1991,"https://fbref.com/en/players/8ba3a754/Alexander-Kacaniklic",NA,NA
"Alexander Søderlund",1987,"https://fbref.com/en/players/e61d33f1/Alexander-Soderlund",NA,NA
"Alexander Sørloth",1995,"https://fbref.com/en/players/e92cd3f7/Alexander-Sorloth",NA,NA
"Alexandre Conceicao",1999,"https://fbref.com/en/players/eeeca247/Alexandre-Conceicao",NA,NA
"Alexandre Tegar",2000,"https://fbref.com/en/players/b832756a/Alexandre-Tegar",NA,NA
"Alexis",1985,"https://fbref.com/en/players/db0cd1ae/Alexis",NA,NA
"Alexis Alegue",1996,"https://fbref.com/en/players/0f4c0bad/Alexis-Alegue",NA,NA
"Alfon",1999,"https://fbref.com/en/players/1c772b46/Alfon",NA,NA
"Ali Adnan Kadhim",1993,"https://fbref.com/en/players/06050480/Ali-Adnan-Kadhim",NA,NA
"Ali Koiki",2000,"https://fbref.com/en/players/82726be5/Ali-Koiki",NA,NA
"Alin Toșca",1992,"https://fbref.com/en/players/322ba2df/Alin-Tosca",NA,NA
"Aly Mallé",1998,"https://fbref.com/en/players/c50db9b5/Aly-Malle",NA,NA
"Amadou Traore",2002,"https://fbref.com/en/players/4eb0686f/Amadou-Traore",NA,NA
"Amath",1996,"https://fbref.com/en/players/f3b1d9a2/Amath",NA,NA
"Amir Adouyev",1999,"https://fbref.com/en/players/e621fe01/Amir-Adouyev",NA,NA
"Amir Feratovič",2002,"https://fbref.com/en/players/652c00db/Amir-Feratovic",NA,NA
"Anderson Lima",1999,"https://fbref.com/en/players/59be3a74/Anderson-Lima",NA,NA
"Andreas Søndergaard",2001,"https://fbref.com/en/players/43f9b4ba/Andreas-Sondergaard",NA,NA
"Andrei Lupu",1998,"https://fbref.com/en/players/60035815/Andrei-Lupu",NA,NA
"Andrej Kramarić",1991,"https://fbref.com/en/players/603cb947/Andrej-Kramaric",NA,NA
"Andrey Lunyov",1991,"https://fbref.com/en/players/8a6ab963/Andrey-Lunyov",NA,NA
"Andrija Balić",1997,"https://fbref.com/en/players/9be4ee80/Andrija-Balic",NA,NA
"Andy Diouf",2002,"https://fbref.com/en/players/9b5237b1/Andy-Diouf",NA,NA
"Ángel",2002,"https://fbref.com/en/players/b1e5bbec/Angel",NA,NA
"Angelo da Costa Júnior",1983,"https://fbref.com/en/players/18736214/Angelo-da-Costa-Junior",NA,NA
"Ante Ćorić",1997,"https://fbref.com/en/players/2d3f7367/Ante-Coric",NA,NA
"Ante Rebić",1993,"https://fbref.com/en/players/536cebe5/Ante-Rebic",NA,NA
"Anthony Briançon",1994,"https://fbref.com/en/players/16324e1d/Anthony-Briancon",NA,NA
"Anthony Mandrea",1996,"https://fbref.com/en/players/f7d3a773/Anthony-Mandrea",NA,NA
"Anto Grgić",1996,"https://fbref.com/en/players/126cf855/Anto-Grgic",NA,NA
"Antonín Barák",1994,"https://fbref.com/en/players/01efac19/Antonin-Barak",NA,NA
"Antonio Cortés",2000,"https://fbref.com/en/players/31a1288d/Antonio-Cortes",NA,NA
"Antonio Mionić",2001,"https://fbref.com/en/players/0511d050/Antonio-Mionic",NA,NA
"Antonio Pacheco",2002,"https://fbref.com/en/players/fdbe95bc/Antonio-Pacheco",NA,NA
"Antonio Raillo",1991,"https://fbref.com/en/players/b857bd29/Antonio-Raillo",NA,NA
"Antonios Papadopoulos",1999,"https://fbref.com/en/players/13d23b29/Antonios-Papadopoulos",NA,NA
"Armand Lauriente",1998,"https://fbref.com/en/players/2d22cea7/Armand-Lauriente",NA,NA
"Arnau Comas",2000,"https://fbref.com/en/players/01d45441/Arnau-Comas",NA,NA
"Arnaut Groeneveld",1997,"https://fbref.com/en/players/f08490a6/Arnaut-Groeneveld",NA,NA
"Arnel Jakupović",1998,"https://fbref.com/en/players/61ecee0e/Arnel-Jakupovic",NA,NA
"Arnór Sigurðsson",1999,"https://fbref.com/en/players/f209b81e/Arnor-Sigurdsson",NA,NA
"Arthur Melo",1996,"https://fbref.com/en/players/48b3dd60/Arthur-Melo",NA,NA
