Player,Born,Url,player_dob,player_url
Abdallah N'dour,1993,https://fbref.com/en/players/4749367a/Abdallah-Ndour,NA,https://www.transfermarkt.com/abdallah-ndour/profil/spieler/232854
Adam Marušić,1992,https://fbref.com/en/players/d4535821/Adam-Marusic,NA,https://www.transfermarkt.com/adam-marusic/profil/spieler/239802
Adam Zreľák,1994,https://fbref.com/en/players/8c8b4a01/Adam-Zrelak,NA,https://www.transfermarkt.com/adam-zrelak/profil/spieler/261155
Aday,1987,https://fbref.com/en/players/5890cef1/Aday,NA,https://www.transfermarkt.com/aday-benitez/profil/spieler/132921
Adem Ljajić,1991,https://fbref.com/en/players/2648e18f/Adem-Ljajic,NA,https://www.transfermarkt.com/adem-ljajic/profil/spieler/69374
Adrian Bernabe,2001,https://fbref.com/en/players/548672b4/Adrian-Bernabe,NA,https://www.transfermarkt.com/adrian-bernabe/profil/spieler/466802
Adrian Grbić,1996,https://fbref.com/en/players/4a987ffa/Adrian-Grbic,NA,https://www.transfermarkt.com/adrian-grbic/profil/spieler/167342
Adrian Šemper,1998,https://fbref.com/en/players/f02dde20/Adrian-Semper,NA,https://www.transfermarkt.com/adrian-semper/profil/spieler/317057
Adrien Tameze,1994,https://fbref.com/en/players/8da74c05/Adrien-Tameze,NA,https://www.transfermarkt.com/adrien-tameze/profil/spieler/157507
Ahmed Hegazi,1991,https://fbref.com/en/players/5540c9dc/Ahmed-Hegazi,NA,https://www.transfermarkt.com/ahmed-hegazy/profil/spieler/111524
Ailton,1995,https://fbref.com/en/players/74ced675/Ailton,NA,https://www.transfermarkt.com/ailton/profil/spieler/283863
Alassane Pléa,1993,https://fbref.com/en/players/bc6bd723/Alassane-Plea,NA,https://www.transfermarkt.com/alassane-plea/profil/spieler/167329
Alejandro Balde,2003,https://fbref.com/en/players/5ccc9672/Alejandro-Balde,NA,https://www.transfermarkt.com/alex-balde/profil/spieler/636688
Aleksa Terzić,1999,https://fbref.com/en/players/3ef0a2d7/Aleksa-Terzic,NA,https://www.transfermarkt.com/aleksa-terzic/profil/spieler/404260
Aleksandar Dragović,1991,https://fbref.com/en/players/6fd8a334/Aleksandar-Dragovic,NA,https://www.transfermarkt.com/aleksandar-dragovic/profil/spieler/59032
Aleksandar Jovanović,1992,https://fbref.com/en/players/129dd8e7/Aleksandar-Jovanovic,NA,https://www.transfermarkt.com/aleksandar-jovanovic/profil/spieler/256567
Aleksandar Mitrović,1994,https://fbref.com/en/players/3925dbd6/Aleksandar-Mitrovic,NA,https://www.transfermarkt.com/aleksandar-mitrovic/profil/spieler/51152
Aleksandar Radovanović,1993,https://fbref.com/en/players/09507ffa/Aleksandar-Radovanovic,NA,https://www.transfermarkt.com/aleksandar-radovanovic/profil/spieler/339501
Alen Halilović,1996,https://fbref.com/en/players/a6b9bd00/Alen-Halilovic,NA,https://www.transfermarkt.com/alen-halilovic/profil/spieler/226074
Aleš Matějů,1996,https://fbref.com/en/players/deb748c9/Ales-Mateju,NA,https://www.transfermarkt.com/ales-mateju/profil/spieler/242078
Alessandro Burlamaqui,2002,https://fbref.com/en/players/2ae026d4/Alessandro-Burlamaqui,NA,https://www.transfermarkt.com/alessandro-burlamaqui/profil/spieler/657479
Alex,1999,https://fbref.com/en/players/8c9e7571/Alex,NA,https://www.transfermarkt.com/alex-dos-santos/profil/spieler/396341
Álex Centelles,1997,https://fbref.com/en/players/ae852b7d/Alex-Centelles,NA,https://www.transfermarkt.com/alex-centelles/profil/spieler/423443
Alexander,1988,https://fbref.com/en/players/3e1858af/Alexander,NA,https://www.transfermarkt.com/alexander-szymanowski/profil/spieler/217728
Alexander Kačaniklić,1991,https://fbref.com/en/players/8ba3a754/Alexander-Kacaniklic,NA,https://www.transfermarkt.com/alexander-kacaniklic/profil/spieler/51040
Alexander Søderlund,1987,https://fbref.com/en/players/e61d33f1/Alexander-Soderlund,NA,https://www.transfermarkt.com/alexander-soderlund/profil/spieler/87479
Alexander Sørloth,1995,https://fbref.com/en/players/e92cd3f7/Alexander-Sorloth,NA,https://www.transfermarkt.com/alexander-sorloth/profil/spieler/238407
Alexandre Conceicao,1999,https://fbref.com/en/players/eeeca247/Alexandre-Conceicao,NA,https://www.transfermarkt.com/alexandre-gameiro/profil/spieler/696597
Alexandre Tegar,2000,https://fbref.com/en/players/b832756a/Alexandre-Tegar,NA,https://www.transfermarkt.com/alexandre-tegar/profil/spieler/661257
Alexis,1985,https://fbref.com/en/players/db0cd1ae/Alexis,NA,https://www.transfermarkt.com/alexis-ruano/profil/spieler/7781
