"player_name","player_dob","player_url","tm_surname","tm_yob"
"Aaron Boupendza",1996-08-07,"https://www.transfermarkt.com/aaron-boupendza/profil/spieler/427605","Boupendza",1996
"Aaron Connolly",2000-01-28,"https://www.transfermarkt.com/aaron-connolly/profil/spieler/434207","Connolly",2000
"Aaron Cresswell",1989-12-15,"https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","Cresswell",1989
"Aarón Escandell",1995-09-27,"https://www.transfermarkt.com/aaron-escandell/profil/spieler/284430","Escandell",1995
"Aaron Herzog",1998-01-30,"https://www.transfermarkt.com/aaron-herzog/profil/spieler/276566","Herzog",1998
"Aaron Hickey",2002-06-10,"https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949","Hickey",2002
"Aaron Hunt",1986-09-04,"https://www.transfermarkt.com/aaron-hunt/profil/spieler/4687","Hunt",1986
"Aaron Kamardin",2002-04-08,"https://www.transfermarkt.com/aaron-kamardin/profil/spieler/557609","Kamardin",2002
"Aaron Lennon",1987-04-16,"https://www.transfermarkt.com/aaron-lennon/profil/spieler/14221","Lennon",1987
"Aaron Leya Iseka",1997-11-15,"https://www.transfermarkt.com/aaron-leya-iseka/profil/spieler/289587","Iseka",1997
"Aarón Martín",1997-04-22,"https://www.transfermarkt.com/aaron-martin/profil/spieler/251878","Martín",1997
"Aaron Mattia Tabacchi",1998-06-26,"https://www.transfermarkt.com/aaron-mattia-tabacchi/profil/spieler/353998","Tabacchi",1998
"Aaron Mooy",1990-09-15,"https://www.transfermarkt.com/aaron-mooy/profil/spieler/123951","Mooy",1990
"Aaron Ramsdale",1998-05-14,"https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568","Ramsdale",1998
"Aaron Ramsey",1990-12-26,"https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057","Ramsey",1990
"Aaron Rowe",2000-09-07,"https://www.transfermarkt.com/aaron-rowe/profil/spieler/657994","Rowe",2000
"Aaron Seydel",1996-02-07,"https://www.transfermarkt.com/aaron-seydel/profil/spieler/187499","Seydel",1996
"Aaron Tshibola",1995-01-02,"https://www.transfermarkt.com/aaron-tshibola/profil/spieler/243633","Tshibola",1995
"Aaron Wan-Bissaka",1997-11-26,"https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758","Wan-Bissaka",1997
"Ababacar Lô",2000-01-02,"https://www.transfermarkt.com/ababacar-lo/profil/spieler/739076","Lô",2000
