"Player","Born","Url","player_dob","player_url","player_position"
"Achraf Dari",1999,"https://fbref.com/en/players/5069b796/Achraf-Dari",1999-05-06,"https://www.transfermarkt.com/achraf-dari/profil/spieler/566823","Centre-Back"
"Alejandro Garnacho",2004,"https://fbref.com/en/players/7aa8adfe/Alejandro-Garnacho",2004-07-01,"https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779","Left Winger"
"Alexis Beka Beka",2001,"https://fbref.com/en/players/4a5e83ad/Alexis-Beka-Beka",2001-03-29,"https://www.transfermarkt.com/alexis-beka-beka/profil/spieler/539065","Defensive Midfield"
"Andreas Bruus",1999,"https://fbref.com/en/players/b088d5d3/Andreas-Bruus",1999-01-16,"https://www.transfermarkt.com/andreas-bruus/profil/spieler/345748","Right-Back"
"Anthony Jung",1991,"https://fbref.com/en/players/de838f86/Anthony-Jung",1991-11-03,"https://www.transfermarkt.com/anthony-jung/profil/spieler/58995","Left-Back"
"Anthony Rouault",2001,"https://fbref.com/en/players/9b545925/Anthony-Rouault",2001-05-29,"https://www.transfermarkt.com/anthony-rouault/profil/spieler/690799","Centre-Back"
"Ben Pearson",1995,"https://fbref.com/en/players/a6b461e7/Ben-Pearson",1995-01-04,"https://www.transfermarkt.com/ben-pearson/profil/spieler/183302","Central Midfield"
"Bevic Moussiti-Oko",1995,"https://fbref.com/en/players/71d10572/Bevic-Moussiti-Oko",1995-01-28,"https://www.transfermarkt.com/bevic-moussiti-oko/profil/spieler/364525","Centre-Forward"
"Birama Touré",1992,"https://fbref.com/en/players/a4b798a9/Birama-Toure",1992-06-06,"https://www.transfermarkt.com/birama-toure/profil/spieler/229853","Defensive Midfield"
"Branco van den Boomen",1995,"https://fbref.com/en/players/99d660b2/Branco-van-den-Boomen",1995-07-21,"https://www.transfermarkt.com/branco-van-den-boomen/profil/spieler/203938","Central Midfield"
"Brandon Baiye",2000,"https://fbref.com/en/players/7e3e825e/Brandon-Baiye",2000-12-27,"https://www.transfermarkt.com/brandon-baiye/profil/spieler/358025","Defensive Midfield"
"Brenden Aaronson",2000,"https://fbref.com/en/players/5bc43860/Brenden-Aaronson",2000-10-22,"https://www.transfermarkt.com/brenden-aaronson/profil/spieler/393323","Attacking Midfield"
"Brennan Johnson",2001,"https://fbref.com/en/players/0cd31129/Brennan-Johnson",2001-05-23,"https://www.transfermarkt.com/brennan-johnson/profil/spieler/470607","Second Striker"
"Cédric Avinel",1986,"https://fbref.com/en/players/a94d93be/Cedric-Avinel",1986-09-11,"https://www.transfermarkt.com/cedric-avinel/profil/spieler/44421","Centre-Back"
"Chidera Ejuke",1998,"https://fbref.com/en/players/e7f3e8a7/Chidera-Ejuke",1998-01-02,"https://www.transfermarkt.com/chidera-ejuke/profil/spieler/500067","Left Winger"
