"Player","Born","Url","player_dob","player_url","player_position"
"Adam Hložek",2002,"https://fbref.com/en/players/5521f419/Adam-Hlozek",NA,NA,NA
"Alexander Mighten",2002,"https://fbref.com/en/players/10ec4169/Alexander-Mighten",NA,NA,NA
"Alexsandro Ribeiro",1999,"https://fbref.com/en/players/102c9665/Alexsandro-Ribeiro",NA,NA,NA
"Amine Salama",NA,"https://fbref.com/en/players/bc7cc472/Amine-Salama",NA,NA,NA
"Carlos Baleba",2004,"https://fbref.com/en/players/a1390d2f/Carlos-Baleba",NA,NA,NA
"Daniel Kyereh",1996,"https://fbref.com/en/players/2770726a/Daniel-Kyereh",NA,NA,NA
"Dany Jean",2002,"https://fbref.com/en/players/300ec91c/Dany-Jean",NA,NA,NA
"Fares Chaïbi",2002,"https://fbref.com/en/players/357103bd/Fares-Chaibi",NA,NA,NA
"Filip Uremović",1997,"https://fbref.com/en/players/af842091/Filip-Uremovic",NA,NA,NA
"Gedeon Kalulu",1997,"https://fbref.com/en/players/dd211559/Gedeon-Kalulu",NA,NA,NA
"Halid Šabanović",1999,"https://fbref.com/en/players/8299e363/Halid-Sabanovic",NA,NA,NA
"Ismael Diallo",1997,"https://fbref.com/en/players/b3244eeb/Ismael-Diallo",NA,NA,NA
"Ivan Šunjić",1996,"https://fbref.com/en/players/e18098de/Ivan-Sunjic",NA,NA,NA
"Jakub Kamiński",2002,"https://fbref.com/en/players/202b3b68/Jakub-Kaminski",NA,NA,NA
"Juan Perea",2000,"https://fbref.com/en/players/ff3d391c/Juan-Perea",NA,NA,NA
"Kévin Keben Biakolo",2004,"https://fbref.com/en/players/c43a8336/Kevin-Keben-Biakolo",NA,NA,NA
"Komnen Andrić",1995,"https://fbref.com/en/players/af3ddb2e/Komnen-Andric",NA,NA,NA
"Kyliane Dong",2004,"https://fbref.com/en/players/836dc4a8/Kyliane-Dong",NA,NA,NA
"Miha Blažič",1993,"https://fbref.com/en/players/3cdfc63e/Miha-Blazic",NA,NA,NA
"Mounaim El Idrissy",1999,"https://fbref.com/en/players/fb0ee44e/Mounaim-El-Idrissy",NA,NA,NA
"Muhammed Saracevic Cham",2000,"https://fbref.com/en/players/f527a32c/Muhammed-Saracevic-Cham",NA,NA,NA
"Rareş Ilie",2003,"https://fbref.com/en/players/c9f49454/Rares-Ilie",NA,NA,NA
"Rasmus Nissen",1997,"https://fbref.com/en/players/39769cff/Rasmus-Nissen",NA,NA,NA
"Suliman Mustapha",2001,"https://fbref.com/en/players/9ff8ec4a/Suliman-Mustapha",NA,NA,NA
"Warren Zaire-Emery",2006,"https://fbref.com/en/players/6b9960cf/Warren-Zaire-Emery",NA,NA,NA
