"Player","Born","Url","player_dob","player_url","player_position"
"Aaron Ciammaglichella",2005,"https://fbref.com/en/players/20525799/Aaron-Ciammaglichella",NA,"https://www.transfermarkt.com/aaron-ciammaglichella/profil/spieler/724108",NA
"Abdoulaye Keita",2002,"https://fbref.com/en/players/154b6735/Abdoulaye-Keita",NA,"https://www.transfermarkt.com/abdoulaye-keita/profil/spieler/949489",NA
"Abel",2000,"https://fbref.com/en/players/40b6bd38/Abel",NA,"https://www.transfermarkt.com/abel-bretones/profil/spieler/658115",NA
"Aboubacar Bassinga",2005,"https://fbref.com/en/players/22a312ec/Aboubacar-Bassinga",NA,"https://www.transfermarkt.com/aboubacar-bassinga/profil/spieler/1210422",NA
"Adrian Baquerin",2007,"https://fbref.com/en/players/218bc8d2/Adrian-Baquerin",NA,"https://www.transfermarkt.com/adrian-arnu/profil/spieler/1176519",NA
"Adrian Nino",2004,"https://fbref.com/en/players/5b9067c9/Adrian-Nino",NA,"https://www.transfermarkt.com/adrian-nino/profil/spieler/926849",NA
"Aingeru Olabarrieta",2005,"https://fbref.com/en/players/b7e92b0e/Aingeru-Olabarrieta",NA,"https://www.transfermarkt.com/aingeru-olabarrieta/profil/spieler/1056971",NA
"Alberto Manzoni",2005,"https://fbref.com/en/players/08cda374/Alberto-Manzoni",NA,"https://www.transfermarkt.com/alberto-manzoni/profil/spieler/936755",NA
"Alberto costa",2003,"https://fbref.com/en/players/4d36e5ae/Alberto-costa",NA,"https://www.transfermarkt.com/alberto-costa/profil/spieler/877139",NA
"Alejandro Rodriguez",2008,"https://fbref.com/en/players/fbe1cf6b/Alejandro-Rodriguez",NA,"https://www.transfermarkt.com/alejandro-gomes-rodriguez/profil/spieler/1108478",NA
"Alessio Cacciamani",2007,"https://fbref.com/en/players/2028c5c3/Alessio-Cacciamani",NA,"https://www.transfermarkt.com/alessio-cacciamani/profil/spieler/1188619",NA
"Alex Padilla",2003,"https://fbref.com/en/players/a275838a/Alex-Padilla",NA,"https://www.transfermarkt.com/alex-padilla/profil/spieler/834483",NA
"Alfie Dorrington",2005,"https://fbref.com/en/players/ac1ef440/Alfie-Dorrington",NA,"https://www.transfermarkt.com/alfie-dorrington/profil/spieler/796300",NA
"Alfie Pond",2004,"https://fbref.com/en/players/039c3d96/Alfie-Pond",NA,"https://www.transfermarkt.com/alfie-pond/profil/spieler/821522",NA
"Ali Al Hamadi",2002,"https://fbref.com/en/players/8450467d/Ali-Al-Hamadi",NA,"https://www.transfermarkt.com/ali-al-hamadi/profil/spieler/610581",NA
"Ali Jasim",2004,"https://fbref.com/en/players/1a927a6f/Ali-Jasim",NA,"https://www.transfermarkt.com/ali-jasim/profil/spieler/877672",NA
"Almoatasem Al Musrati",1996,"https://fbref.com/en/players/cd6a1a59/Almoatasem-Al-Musrati",NA,"https://www.transfermarkt.com/moatasem-al-musrati/profil/spieler/377641",NA
"Alvaro Pascual",2002,"https://fbref.com/en/players/68ad2350/Alvaro-Pascual",NA,"https://www.transfermarkt.com/garcia-pascual/profil/spieler/1305792",NA
"Amar Dedic",2002,"https://fbref.com/en/players/bc6e544a/Amar-Dedic",NA,"https://www.transfermarkt.com/amar-dedic/profil/spieler/519184",NA
"Andy Irving",2000,"https://fbref.com/en/players/b1be9fc0/Andy-Irving",NA,"https://www.transfermarkt.com/andrew-irving/profil/spieler/430310",NA
"Antoniu",2002,"https://fbref.com/en/players/af784a9e/Antoniu",NA,"https://www.transfermarkt.com/antoniu-roca/profil/spieler/834744",NA
"Arnau Rafus",2003,"https://fbref.com/en/players/05d950c4/Arnau-Rafus",NA,"https://www.transfermarkt.com/arnau-rafus/profil/spieler/636686",NA
"Arnau Sola",2003,"https://fbref.com/en/players/c8c8ce16/Arnau-Sola",NA,"https://www.transfermarkt.com/arnau-sola/profil/spieler/636697",NA
"Arturo Rodriguez",2006,"https://fbref.com/en/players/8516f382/Arturo-Rodriguez",NA,"https://www.transfermarkt.com/arturo-rodriguez/profil/spieler/1365799",NA
"Asher Agbinone",2005,"https://fbref.com/en/players/6a10efb3/Asher-Agbinone",NA,"https://www.transfermarkt.com/asher-agbinone/profil/spieler/1047256",NA
"Ayman Aiki",2005,"https://fbref.com/en/players/8399c416/Ayman-Aiki",NA,"https://www.transfermarkt.com/ayman-aiki/profil/spieler/986261",NA
"Bahereba Guirassy",2006,"https://fbref.com/en/players/a08bb82c/Bahereba-Guirassy",NA,"https://www.transfermarkt.com/herba-guirassy/profil/spieler/1119453",NA
"Ben Alexander Voll",2000,"https://fbref.com/en/players/ee8ad906/Ben-Alexander-Voll",NA,"https://www.transfermarkt.com/ben-voll/profil/spieler/453742",NA
"Ben Winterburn",2004,"https://fbref.com/en/players/ba31eee2/Ben-Winterburn",NA,"https://www.transfermarkt.com/ben-winterburn/profil/spieler/854721",NA
"Benjamin Dominguez",2003,"https://fbref.com/en/players/a83b47fa/Benjamin-Dominguez",NA,"https://www.transfermarkt.com/benja-dominguez/profil/spieler/961022",NA
"Beres Owusu",2003,"https://fbref.com/en/players/32c61db3/Beres-Owusu",NA,"https://www.transfermarkt.com/beres-owusu/profil/spieler/1052291",NA
"Bernard Nguene",2006,"https://fbref.com/en/players/95915bb5/Bernard-Nguene",NA,"https://www.transfermarkt.com/bernard-nguene/profil/spieler/1314671",NA
"Bob Murphy Omoregbe",2003,"https://fbref.com/en/players/b04364ed/Bob-Murphy-Omoregbe",NA,"https://www.transfermarkt.com/bob-murphy-omoregbe/profil/spieler/894324",NA
"Carlos Gomez",2002,"https://fbref.com/en/players/76a82373/Carlos-Gomez",NA,"https://www.transfermarkt.com/carlos-andres-gomez/profil/spieler/957461",NA
"Carlos Guirao",2003,"https://fbref.com/en/players/4d9f02df/Carlos-Guirao",NA,"https://www.transfermarkt.com/carlos-guirao/profil/spieler/1054429",NA
"Cheick Oumar Conde",2000,"https://fbref.com/en/players/2f88752d/Cheick-Oumar-Conde",NA,"https://www.transfermarkt.com/cheick-conde/profil/spieler/698560",NA
"Cheikh Tidiane Niasse",2000,"https://fbref.com/en/players/ff20acfe/Cheikh-Tidiane-Niasse",NA,"https://www.transfermarkt.com/cheikh-niasse/profil/spieler/644032",NA
"Chema",2005,"https://fbref.com/en/players/39ef21fa/Chema",NA,"https://www.transfermarkt.com/chema-andres/profil/spieler/948279",NA
"Chidozie Obi-Martin",2007,"https://fbref.com/en/players/0c9bfc3b/Chidozie-Obi-Martin",NA,"https://www.transfermarkt.com/chido-obi/profil/spieler/1042886",NA
"Chuky san jose",2004,"https://fbref.com/en/players/0525a80f/Chuky-san-jose",NA,"https://www.transfermarkt.com/chuki/profil/spieler/926763",NA
"Dailon Livramento",2001,"https://fbref.com/en/players/c115db1e/Dailon-Livramento",NA,"https://www.transfermarkt.com/dailon-rocha-livramento/profil/spieler/676411",NA
"Daniel Diaz",2006,"https://fbref.com/en/players/423680ee/Daniel-Diaz",NA,"https://www.transfermarkt.com/dani-diaz/profil/spieler/937945",NA
"Daniel Luna",2003,"https://fbref.com/en/players/410b16e3/Daniel-Luna",NA,"https://www.transfermarkt.com/daniel-luna/profil/spieler/857830",NA
"Daniel Requena",2004,"https://fbref.com/en/players/34d29ab9/Daniel-Requena",NA,"https://www.transfermarkt.com/dani-requena/profil/spieler/945709",NA
"Daniel Rodriguez",2005,"https://fbref.com/en/players/f9cbad15/Daniel-Rodriguez",NA,"https://www.transfermarkt.com/dani-rodriguez/profil/spieler/834470",NA
"Daniel Yanez",2007,"https://fbref.com/en/players/79310b33/Daniel-Yanez",NA,"https://www.transfermarkt.com/daniel-yanez/profil/spieler/962124",NA
