"player_name","player_dob","player_url","player_position","tm_surname","tm_yob"
"Aaron Cresswell",1989-12-15,"https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571","Left-Back","Cresswell",1989
"Aaron Hickey",2002-06-10,"https://www.transfermarkt.com/aaron-hickey/profil/spieler/591949","Left-Back","Hickey",2002
"Aarón Martín",1997-04-22,"https://www.transfermarkt.com/aaron-martin/profil/spieler/251878","Left-Back","Martín",1997
"Aaron Ramsdale",1998-05-14,"https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568","Goalkeeper","Ramsdale",1998
"Aaron Ramsey",1990-12-26,"https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057","Central Midfield","Ramsey",1990
"Aaron Wan-Bissaka",1997-11-26,"https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758","Right-Back","Wan-Bissaka",1997
"Aaron Zehnter",2004-10-31,"https://www.transfermarkt.com/aaron-zehnter/profil/spieler/730484","Left-Back","Zehnter",2004
"Abdallah Sima",2001-06-17,"https://www.transfermarkt.com/abdallah-sima/profil/spieler/776798","Right Winger","Sima",2001
"Abde Ezzalzouli",2001-12-17,"https://www.transfermarkt.com/abde-ezzalzouli/profil/spieler/724520","Left Winger","Ezzalzouli",2001
"Abdelhamid Sabiri",1996-11-28,"https://www.transfermarkt.com/abdelhamid-sabiri/profil/spieler/340394","Attacking Midfield","Sabiri",1996
"Abdón Prats",1992-12-07,"https://www.transfermarkt.com/abdon-prats/profil/spieler/177452","Centre-Forward","Prats",1992
"Abdou Diallo",1996-05-04,"https://www.transfermarkt.com/abdou-diallo/profil/spieler/229005","Centre-Back","Diallo",1996
"Abdou Harroui",1998-01-13,"https://www.transfermarkt.com/abdou-harroui/profil/spieler/416386","Central Midfield","Harroui",1998
"Abdoulaye Bamba",1990-04-25,"https://www.transfermarkt.com/abdoulaye-bamba/profil/spieler/62351","Right-Back","Bamba",1990
"Abdoulaye Doucouré",1993-01-01,"https://www.transfermarkt.com/abdoulaye-doucoure/profil/spieler/127187","Central Midfield","Doucouré",1993
"Abdoulaye Kamara",2004-11-06,"https://www.transfermarkt.com/abdoulaye-kamara/profil/spieler/718232","Defensive Midfield","Kamara",2004
"Abdu Conté",1998-03-24,"https://www.transfermarkt.com/abdu-conte/profil/spieler/337798","Left-Back","Conté",1998
"Abdul Mumin",1998-06-06,"https://www.transfermarkt.com/abdul-mumin/profil/spieler/451801","Centre-Back","Mumin",1998
"Abner",2000-05-27,"https://www.transfermarkt.com/abner/profil/spieler/646402","Left-Back","Abner",2000
"Achraf Dari",1999-05-06,"https://www.transfermarkt.com/achraf-dari/profil/spieler/566823","Centre-Back","Dari",1999
"Achraf Hakimi",1998-11-04,"https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073","Right-Back","Hakimi",1998
"Adam Armstrong",1997-02-10,"https://www.transfermarkt.com/adam-armstrong/profil/spieler/250426","Centre-Forward","Armstrong",1997
"Adam Buksa",1996-07-12,"https://www.transfermarkt.com/adam-buksa/profil/spieler/267160","Centre-Forward","Buksa",1996
"Adam Forshaw",1991-10-08,"https://www.transfermarkt.com/adam-forshaw/profil/spieler/121257","Central Midfield","Forshaw",1991
"Adam Hlozek",2002-07-25,"https://www.transfermarkt.com/adam-hlozek/profil/spieler/552057","Centre-Forward","Hlozek",2002
"Adam Jakubech",1997-01-02,"https://www.transfermarkt.com/adam-jakubech/profil/spieler/258267","Goalkeeper","Jakubech",1997
"Adam Lallana",1988-05-10,"https://www.transfermarkt.com/adam-lallana/profil/spieler/43530","Attacking Midfield","Lallana",1988
"Adam Marusic",1992-10-17,"https://www.transfermarkt.com/adam-marusic/profil/spieler/239802","Right-Back","Marusic",1992
"Adam Masina",1994-01-02,"https://www.transfermarkt.com/adam-masina/profil/spieler/286949","Left-Back","Masina",1994
