"ccode","country","id","name","page_url"
"INT","International",42,"Champions League","/leagues/42/overview/champions-league"
"INT","International",73,"Europa League","/leagues/73/overview/europa-league"
"INT","International",525,"AFC Champions League","/leagues/525/overview/afc-champions-league"
"INT","International",9469,"AFC Cup","/leagues/9469/overview/afc-cup"
"INT","International",9841,"AFC U19","/leagues/9841/overview/afc-u19"
"INT","International",9265,"AFF Suzuki Cup","/leagues/9265/overview/aff-suzuki-cup"
"INT","International",289,"Africa Cup of Nations","/leagues/289/overview/africa-cup-of-nations"
"INT","International",9428,"African Nations Championship","/leagues/9428/overview/african-nations-championship"
"INT","International",9579,"Algarve Cup (W)","/leagues/9579/overview/algarve-cup-(w)"
"INT","International",290,"Asian Cup","/leagues/290/overview/asian-cup"
"INT","International",526,"CAF Champions League","/leagues/526/overview/caf-champions-league"
"INT","International",9468,"CAF Confed Cup","/leagues/9468/overview/caf-confed-cup"
"INT","International",9467,"CAF Super Cup","/leagues/9467/overview/caf-super-cup"
"INT","International",9875,"Campeones Cup","/leagues/9875/overview/campeones-cup"
"INT","International",9306,"CECAFA Cup","/leagues/9306/overview/cecafa-cup"
"INT","International",297,"CONCACAF Champions League","/leagues/297/overview/concacaf-champions-league"
"INT","International",298,"CONCACAF Gold Cup","/leagues/298/overview/concacaf-gold-cup"
"INT","International",9682,"CONCACAF League","/leagues/9682/overview/concacaf-league"
"INT","International",9821,"CONCACAF Nations League","/leagues/9821/overview/concacaf-nations-league"
"INT","International",44,"Copa America","/leagues/44/overview/copa-america"
"INT","International",45,"Copa Libertadores","/leagues/45/overview/copa-libertadores"
"INT","International",299,"Copa Sudamericana","/leagues/299/overview/copa-sudamericana"
"INT","International",50,"EURO","/leagues/50/overview/euro"
"INT","International",292,"Euro Championship (Women)","/leagues/292/overview/euro-championship-(women)"
"INT","International",287,"EURO U19","/leagues/287/overview/euro-u19"
"INT","International",288,"EURO U21","/leagues/288/overview/euro-u21"
"INT","International",10216,"Europa Conference League","/leagues/10216/overview/europa-conference-league"
"INT","International",301,"European Championship U-17","/leagues/301/overview/european-championship-u-17"
"INT","International",10242,"FIFA Arab Cup","/leagues/10242/overview/fifa-arab-cup"
"INT","International",78,"FIFA Club World Cup","/leagues/78/overview/fifa-club-world-cup"
"INT","International",9408,"International Champions Cup","/leagues/9408/overview/international-champions-cup"
"INT","International",10043,"Leagues Cup","/leagues/10043/overview/leagues-cup"
"INT","International",491,"Recopa Sudamericana","/leagues/491/overview/recopa-sudamericana"
"INT","International",9876,"SAFF Championship","/leagues/9876/overview/saff-championship"
"INT","International",9921,"SheBelieves Cup (W)","/leagues/9921/overview/shebelieves-cup-(w)"
"INT","International",66,"Summer Olympics","/leagues/66/overview/summer-olympics"
"INT","International",65,"Summer Olympics (Women)","/leagues/65/overview/summer-olympics-(women)"
"INT","International",9514,"The Atlantic Cup","/leagues/9514/overview/the-atlantic-cup"
"INT","International",296,"U-20 World Cup","/leagues/296/overview/u-20-world-cup"
"INT","International",9806,"UEFA Nations League A","/leagues/9806/overview/uefa-nations-league-a"
