"entity","stat","full_stat"
"player","accurate_pass","accurate_pass"
"team","accurate_pass","accurate_pass_team"
"player","big_chance_created","big_chance_created"
"team","big_chance_created","big_chance_created_team"
"player","big_chance_missed","big_chance_missed"
"team","big_chance_missed","big_chance_missed_team"
"player","clean_sheet","clean_sheet"
"team","clean_sheet","clean_sheet_team"
"player","effective_clearance","effective_clearance"
"team","effective_clearance","effective_clearance_team"
"player","xg","expected_goals"
"team","xg","expected_goals_team"
"player","xg_conceded","expected_goals_conceded"
"team","xg_conceded","expected_goals_conceded_team"
"player","assist","goal_assist"
"player","goals","goals"
"team","goals_conceded_per_match","goals_conceded_team_match"
"team","goals_per_match","goals_team_match"
"player","mins_played_goal","mins_played_goal"
"player","ontarget_scoring_att","ontarget_scoring_att"
"team","ontarget_scoring_att","ontarget_scoring_att_team"
"player","penalty_won","penalty_won"
"team","penalty_won","penalty_won_team"
"player","poss_won_att_3rd","poss_won_att_3rd"
"team","poss_won_att_3rd","poss_won_att_3rd_team"
"team","possession_percentage","possession_percentage"
"player","rating","rating"
"team","rating","rating_team"
"player","red_card","red_card"
"team","red_card","total_red_card"
"player","saves","saves"
"team","saves","saves_team"
"player","total_att_assist","total_att_assist"
"player","won_contest","won_contest"
"player","won_tackle","won_tackle"
"team","won_tackle","won_tackle_team"
"player","yellow_card","yellow_card"
"team","yellow_card","total_yel_card"
