"staff_type_idx","staff_type_text"
"1","Manager"
"10","Caretaker Manager"
"2","Assistant Manager"
"3","Goalkeeping Coach"
"11","Conditioning Coach"
"22","Fitness Coach"
"16","Chief Analyst"
"63","Athletic Coach"
"23","Rehab Coach"
"104","Youth Coach"
"70","Video Analyst"
"145","Coordinator of talent management"
"13","Director of Football"
"54","Sporting Director"
"43","Head of Football Operations"
"68","Technical Director"
"25","Chief Executive Officer"
"102","Adivser of management"
"17","President"
"27","Vice-President"
"28","Chairman"
"113","Vice-Chairman"
"39","Board Member"
"59","Member of administrative board"
"83","Marketing/Management"
"57","Director of Marketing and Sales"
"86","Honorary President"
"90","Head of Scouting"
"7","Scout"
"166","Youth Scout"
"35","Academy manager"
"19","Club Doctor"
"130","Nutritionist"
"44","Marketing Staff"
"9","Team official"
"149","Club representative"
